country,year,event_name,event_type,source_url,accessed_at,active,notes
Brazil,2020,Brazil 2020,COE,https://allianceforcoffeeexcellence.org/brazil-2020/,2026-09-11,true,Official ACE historical results page
Colombia,2020,Colombia 2020,COE,https://allianceforcoffeeexcellence.org/colombia-2020/,2026-09-11,true,Official ACE historical results page
Costa Rica,2020,Costa Rica 2020,COE,https://allianceforcoffeeexcellence.org/costa-rica-2020/,2026-09-11,true,Official ACE historical results page
El Salvador,2020,El Salvador 2020,COE,https://allianceforcoffeeexcellence.org/el-salvador-2020/,2026-09-11,true,Official ACE historical results page
Ethiopia,2020,Ethiopia 2020,COE,https://allianceforcoffeeexcellence.org/ethiopia-2020/,2026-09-11,true,Official ACE historical results page
Guatemala,2020,Guatemala 2020,COE,https://allianceforcoffeeexcellence.org/guatemala-2020/,2026-09-11,true,Official ACE historical results page
Nicaragua,2020,Nicaragua 2020,COE,https://allianceforcoffeeexcellence.org/nicaragua-2020/,2026-09-11,true,Official ACE historical results page
Peru,2020,Peru 2020,COE,https://allianceforcoffeeexcellence.org/peru-2020/,2026-09-11,true,Official ACE historical results page
Brazil,2021,Brazil 2021,COE,https://allianceforcoffeeexcellence.org/brazil-2021/,2026-09-11,true,Official ACE historical results page
Colombia,2021,Colombia 2021,COE,https://allianceforcoffeeexcellence.org/colombia-2021/,2026-09-11,true,Official ACE historical results page
Costa Rica,2021,Costa Rica 2021,COE,https://allianceforcoffeeexcellence.org/costa-rica-2021/,2026-09-11,true,Official ACE historical results page
Ecuador,2021,Ecuador 2021,COE,https://allianceforcoffeeexcellence.org/ecuador-2021/,2026-09-11,true,Official ACE historical results page
El Salvador,2021,El Salvador 2021,COE,https://allianceforcoffeeexcellence.org/el-salvador-2021/,2026-09-11,true,Official ACE historical results page
Ethiopia,2021,Ethiopia 2021,COE,https://allianceforcoffeeexcellence.org/ethiopia-2021/,2026-09-11,true,Official ACE historical results page
Guatemala,2021,Guatemala 2021,COE,https://allianceforcoffeeexcellence.org/guatemala-2021/,2026-09-11,true,Official ACE historical results page
Honduras,2021,Honduras 2021,COE,https://allianceforcoffeeexcellence.org/honduras-2021/,2026-09-11,true,Official ACE historical results page
Indonesia,2021,Indonesia 2021,COE,https://allianceforcoffeeexcellence.org/indonesia-2021/,2026-09-11,true,Official ACE historical results page
Mexico,2021,Mexico 2021,COE,https://allianceforcoffeeexcellence.org/mexico-2021/,2026-09-11,true,Official ACE historical results page
Nicaragua,2021,Nicaragua 2021,COE,https://allianceforcoffeeexcellence.org/nicaragua-2021/,2026-09-11,true,Official ACE historical results page
Peru,2021,Peru 2021,COE,https://allianceforcoffeeexcellence.org/peru-2021/,2026-09-11,true,Official ACE historical results page
Brazil,2022,Brazil 2022,COE,https://allianceforcoffeeexcellence.org/brazil-2022/,2026-09-11,true,Official ACE historical results page
Colombia,2022,Colombia 2022,COE,https://allianceforcoffeeexcellence.org/colombia-2022/,2026-09-11,true,Official ACE historical results page
Costa Rica,2022,Costa Rica 2022,COE,https://allianceforcoffeeexcellence.org/costa-rica-2022/,2026-09-11,true,Official ACE historical results page
Ecuador,2022,Ecuador 2022,COE,https://allianceforcoffeeexcellence.org/ecuador-2022/,2026-09-11,true,Official ACE historical results page
El Salvador,2022,El Salvador 2022,COE,https://allianceforcoffeeexcellence.org/el-salvador-2022/,2026-09-11,true,Official ACE historical results page
Ethiopia,2022,Ethiopia 2022,COE,https://allianceforcoffeeexcellence.org/ethiopia-2022/,2026-09-11,true,Official ACE historical results page
Guatemala,2022,Guatemala 2022,COE,https://allianceforcoffeeexcellence.org/guatemala-2022/,2026-09-11,true,Official ACE historical results page
Honduras,2022,Honduras 2022,COE,https://allianceforcoffeeexcellence.org/honduras-2022/,2026-09-11,true,Official ACE historical results page
Indonesia,2022,Indonesia 2022,COE,https://allianceforcoffeeexcellence.org/indonesia-2022/,2026-09-11,true,Official ACE historical results page
