country,year,event_name,event_type,source_url,accessed_at,active,notes
Bolivia,2004,2004,COE,https://allianceforcoffeeexcellence.org/bolivia-2004/,2026-09-13,TRUE,Official ACE historical results page
Bolivia,2005,2005,COE,https://allianceforcoffeeexcellence.org/bolivia-2005/,2026-09-13,TRUE,Official ACE historical results page
Bolivia,2007,2007,COE,https://allianceforcoffeeexcellence.org/bolivia-2007/,2026-09-13,TRUE,Official ACE historical results page
Bolivia,2008,2008,COE,https://allianceforcoffeeexcellence.org/bolivia-2008/,2026-09-13,TRUE,Official ACE historical results page
Bolivia,2009,2009,COE,https://allianceforcoffeeexcellence.org/bolivia-2009/,2026-09-13,TRUE,Official ACE historical results page
Brazil,1999,1999,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-1999/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2000,2000,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2000/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2001,2001,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2001/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2002,2002,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2003,2003,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2003/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2004,2004,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2004/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2005,2005,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2005/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2006,2006,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2006/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2008,2008,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2008/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2009,2009,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2009/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2011,2011,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2011/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2012,2012,COE Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2012/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2012,2012,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2012/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2013,2013,COE Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2013/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2013,2013,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2013/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2014,2014,COE Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2014/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2014,2014,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2014/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2015,2015 January,COE Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2015-january/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2015,2015 December,COE Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2015/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2015,2015,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2015/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2016,2016,COE Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2016/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2016,2016,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2016/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2017,2017,COE Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2017/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2017,2017,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2017/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2018,2018,COE Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2018,2018,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2019,2019,COE,https://allianceforcoffeeexcellence.org/brazil-2019/,2026-09-13,TRUE,Official ACE historical results page
Brazil,2020,Brazil 2020,COE,https://allianceforcoffeeexcellence.org/brazil-2020/,2026-09-11,TRUE,Official ACE historical results page
Brazil,2021,Brazil 2021,COE,https://allianceforcoffeeexcellence.org/brazil-2021/,2026-09-11,TRUE,Official ACE historical results page
Brazil,2022,Brazil 2022,COE,https://allianceforcoffeeexcellence.org/brazil-2022/,2026-09-11,TRUE,Official ACE historical results page
Brazil,2023,Brazil 2023,COE,https://allianceforcoffeeexcellence.org/brazil-2023/,2026-09-11,TRUE,Official ACE historical results page
Brazil,2024,Brazil 2024,COE,https://allianceforcoffeeexcellence.org/brazil-2024/,2026-09-11,TRUE,Official ACE historical results page
Brazil,2025,Brazil 2025,COE,https://allianceforcoffeeexcellence.org/brazil-2025/,2026-09-11,TRUE,Official ACE historical results page
Burundi,2012,2012,COE,https://allianceforcoffeeexcellence.org/burundi-2012/,2026-09-13,TRUE,Official ACE historical results page
Burundi,2013,2013,COE,https://allianceforcoffeeexcellence.org/burundi-2013/,2026-09-13,TRUE,Official ACE historical results page
Burundi,2014,2014,COE,https://allianceforcoffeeexcellence.org/burundi-2014/,2026-09-13,TRUE,Official ACE historical results page
Burundi,2015,2015,COE,https://allianceforcoffeeexcellence.org/burundi-2015/,2026-09-13,TRUE,Official ACE historical results page
Burundi,2017,2017,COE,https://allianceforcoffeeexcellence.org/burundi-2017/,2026-09-13,TRUE,Official ACE historical results page
Burundi,2018,2018,COE,https://allianceforcoffeeexcellence.org/burundi-2018/,2026-09-13,TRUE,Official ACE historical results page
Burundi,2019,2019,COE,https://allianceforcoffeeexcellence.org/burundi-2019/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2005,2005 North,COE regional,https://allianceforcoffeeexcellence.org/colombia-north-2005/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2005,2005 South,COE regional,https://allianceforcoffeeexcellence.org/colombia-south-2005/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2006,2006 North,COE regional,https://allianceforcoffeeexcellence.org/colombia-north-2006/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2006,2006 South,COE regional,https://allianceforcoffeeexcellence.org/colombia-south-2006/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2007,2007 North,COE regional,https://allianceforcoffeeexcellence.org/colombia-north-2007/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2008,2008 South,COE regional,https://allianceforcoffeeexcellence.org/colombia-south-2008/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2009,2009 North,COE regional,https://allianceforcoffeeexcellence.org/colombia-north-2009/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2010,2010 South,COE regional,https://allianceforcoffeeexcellence.org/colombia-south-2010/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2011,2011 North,COE regional,https://allianceforcoffeeexcellence.org/colombia-north-2011/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2012,2012 South,COE regional,https://allianceforcoffeeexcellence.org/colombia-south-2012/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2013,2013 North,COE regional,https://allianceforcoffeeexcellence.org/colombia-north-2013/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2014,2014 South,COE regional,https://allianceforcoffeeexcellence.org/colombia-south-2014/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2015,2015 North,COE regional,https://allianceforcoffeeexcellence.org/colombia-north-2015/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2017,2017,COE,https://allianceforcoffeeexcellence.org/colombia-2017/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2018,2018,COE,https://allianceforcoffeeexcellence.org/colombia-2018/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2019,2019 North,COE regional,https://allianceforcoffeeexcellence.org/colombia-north-2019/,2026-09-13,TRUE,Official ACE historical results page
Colombia,2020,Colombia 2020,COE,https://allianceforcoffeeexcellence.org/colombia-2020/,2026-09-11,TRUE,Official ACE historical results page
Colombia,2021,Colombia 2021,COE,https://allianceforcoffeeexcellence.org/colombia-2021/,2026-09-11,TRUE,Official ACE historical results page
Colombia,2022,Colombia 2022,COE,https://allianceforcoffeeexcellence.org/colombia-2022/,2026-09-11,TRUE,Official ACE historical results page
Colombia,2023,Colombia 2023,COE,https://allianceforcoffeeexcellence.org/colombia-2023/,2026-09-11,TRUE,Official ACE historical results page
Costa Rica,2007,2007,COE,https://allianceforcoffeeexcellence.org/costa-rica-2007/,2026-09-13,TRUE,Official ACE historical results page
Costa Rica,2008,2008,COE,https://allianceforcoffeeexcellence.org/costa-rica-2008/,2026-09-13,TRUE,Official ACE historical results page
Costa Rica,2009,2009,COE,https://allianceforcoffeeexcellence.org/costa-rica-2009/,2026-09-13,TRUE,Official ACE historical results page
Costa Rica,2011,2011,COE,https://allianceforcoffeeexcellence.org/costa-rica-2011/,2026-09-13,TRUE,Official ACE historical results page
Costa Rica,2012,2012,COE,https://allianceforcoffeeexcellence.org/costa-rica-2012/,2026-09-13,TRUE,Official ACE historical results page
Costa Rica,2013,2013,COE,https://allianceforcoffeeexcellence.org/costa-rica-2013/,2026-09-13,TRUE,Official ACE historical results page
Costa Rica,2014,2014,COE,https://allianceforcoffeeexcellence.org/costa-rica-2014/,2026-09-13,TRUE,Official ACE historical results page
Costa Rica,2015,2015,COE,https://allianceforcoffeeexcellence.org/costa-rica-2015/,2026-09-13,TRUE,Official ACE historical results page
Costa Rica,2016,2016,COE,https://allianceforcoffeeexcellence.org/costa-rica-2016/,2026-09-13,TRUE,Official ACE historical results page
Costa Rica,2017,2017,COE,https://allianceforcoffeeexcellence.org/costa-rica-coe-2017/,2026-09-13,TRUE,Official ACE historical results page
Costa Rica,2018,2018,COE,https://allianceforcoffeeexcellence.org/costa-rica-2018/,2026-09-13,TRUE,Official ACE historical results page
Costa Rica,2019,2019,COE,https://allianceforcoffeeexcellence.org/costa-rica-2019/,2026-09-13,TRUE,Official ACE historical results page
Costa Rica,2020,Costa Rica 2020,COE,https://allianceforcoffeeexcellence.org/costa-rica-2020/,2026-09-11,TRUE,Official ACE historical results page
Costa Rica,2021,Costa Rica 2021,COE,https://allianceforcoffeeexcellence.org/costa-rica-2021/,2026-09-11,TRUE,Official ACE historical results page
Costa Rica,2022,Costa Rica 2022,COE,https://allianceforcoffeeexcellence.org/costa-rica-2022/,2026-09-11,TRUE,Official ACE historical results page
Costa Rica,2023,Costa Rica 2023,COE,https://allianceforcoffeeexcellence.org/costa-rica-2023/,2026-09-11,TRUE,Official ACE historical results page
Costa Rica,2024,Costa Rica 2024,COE,https://allianceforcoffeeexcellence.org/costa-rica-2024/,2026-09-11,TRUE,Official ACE historical results page
Costa Rica,2025,Costa Rica 2025,COE,https://allianceforcoffeeexcellence.org/costa-rica-2025/,2026-09-11,TRUE,Official ACE historical results page
Ecuador,2021,Ecuador 2021,COE,https://allianceforcoffeeexcellence.org/ecuador-2021/,2026-09-11,TRUE,Official ACE historical results page
