country,year,source_url,download_status,download_error,competition_rows,auction_rows
Bolivia,2004,https://allianceforcoffeeexcellence.org/bolivia-2004/,success,NA,13,0
Bolivia,2005,https://allianceforcoffeeexcellence.org/bolivia-2005/,success,NA,19,0
Bolivia,2007,https://allianceforcoffeeexcellence.org/bolivia-2007/,success,NA,26,0
Bolivia,2008,https://allianceforcoffeeexcellence.org/bolivia-2008/,success,NA,29,0
Bolivia,2009,https://allianceforcoffeeexcellence.org/bolivia-2009/,success,NA,30,0
Brazil,1999,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-1999/,success,NA,10,0
Brazil,2000,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2000/,success,NA,18,0
Brazil,2001,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2001/,success,NA,18,0
Brazil,2002,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,success,NA,28,0
Brazil,2003,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2003/,success,NA,43,0
Brazil,2004,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2004/,success,NA,36,0
Brazil,2005,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2005/,success,NA,36,0
Brazil,2006,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2006/,success,NA,28,0
Brazil,2008,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2008/,success,NA,23,0
Brazil,2009,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2009/,success,NA,26,0
Brazil,2011,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2011/,success,NA,31,0
Brazil,2012,https://allianceforcoffeeexcellence.org/brazil-naturals-2012/,success,NA,18,0
Brazil,2012,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2012/,success,NA,24,0
Brazil,2013,https://allianceforcoffeeexcellence.org/brazil-naturals-2013/,success,NA,22,0
Brazil,2013,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2013/,success,NA,32,0
Brazil,2014,https://allianceforcoffeeexcellence.org/brazil-naturals-2014/,success,NA,23,0
Brazil,2014,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2014/,success,NA,21,0
Brazil,2015,https://allianceforcoffeeexcellence.org/brazil-naturals-2015-january/,success,NA,23,0
Brazil,2015,https://allianceforcoffeeexcellence.org/brazil-naturals-2015/,success,NA,32,0
Brazil,2015,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2015/,success,NA,22,0
Brazil,2016,https://allianceforcoffeeexcellence.org/brazil-naturals-2016/,success,NA,23,0
Brazil,2016,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2016/,success,NA,26,0
Brazil,2017,https://allianceforcoffeeexcellence.org/brazil-naturals-2017/,success,NA,37,5
Brazil,2017,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2017/,success,NA,28,8
Brazil,2018,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,success,NA,45,0
Brazil,2018,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,success,NA,35,5
Brazil,2019,https://allianceforcoffeeexcellence.org/brazil-2019/,success,NA,30,1
Brazil,2020,https://allianceforcoffeeexcellence.org/brazil-2020/,success,NA,0,35
Brazil,2021,https://allianceforcoffeeexcellence.org/brazil-2021/,success,NA,34,36
Brazil,2022,https://allianceforcoffeeexcellence.org/brazil-2022/,success,NA,26,28
Brazil,2023,https://allianceforcoffeeexcellence.org/brazil-2023/,success,NA,36,36
Brazil,2024,https://allianceforcoffeeexcellence.org/brazil-2024/,success,NA,38,38
Brazil,2025,https://allianceforcoffeeexcellence.org/brazil-2025/,success,NA,39,42
Burundi,2012,https://allianceforcoffeeexcellence.org/burundi-2012/,success,NA,17,0
Burundi,2013,https://allianceforcoffeeexcellence.org/burundi-2013/,success,NA,14,0
Burundi,2014,https://allianceforcoffeeexcellence.org/burundi-2014/,success,NA,27,0
Burundi,2015,https://allianceforcoffeeexcellence.org/burundi-2015/,success,NA,27,0
Burundi,2017,https://allianceforcoffeeexcellence.org/burundi-2017/,success,NA,25,9
Burundi,2018,https://allianceforcoffeeexcellence.org/burundi-2018/,success,NA,36,43
Burundi,2019,https://allianceforcoffeeexcellence.org/burundi-2019/,success,NA,24,5
Colombia,2005,https://allianceforcoffeeexcellence.org/colombia-north-2005/,success,NA,25,0
Colombia,2005,https://allianceforcoffeeexcellence.org/colombia-south-2005/,success,NA,33,0
Colombia,2006,https://allianceforcoffeeexcellence.org/colombia-north-2006/,success,NA,23,0
