country,year,program,process_group,rank,score,farm,producer,process,variety,region,source_url,swap_process_variety,process_family,rank_key,entry_rank,farm_key,producer_key,entry_key
Brazil,2002,Not classified,NA,1,-1,Faz. Água Limpa I (José…,–,NA,NA,"-, –",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,1,1,faz agua limpa i jose,,Brazil|2002|Not classified|NA|1
Brazil,2002,Not classified,NA,2,-1,Faz. Santa Helena,–,NA,NA,"-, –",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,2,2,faz santa helena,,Brazil|2002|Not classified|NA|2
Brazil,2002,Not classified,NA,3,-1,Faz. Santa Terezinha,–,NA,NA,"-, –",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,3,3,faz santa terezinha,,Brazil|2002|Not classified|NA|3
Brazil,2002,Not classified,NA,4,-1,Faz. Transwal,–,NA,NA,"-, –",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,4,4,faz transwal,,Brazil|2002|Not classified|NA|4
Brazil,2002,Not classified,NA,5,-1,Sítio Grota São Pedro,Cláudio Carneiro Pinto,NA,NA,"Carmo de Minas, Minas Gerais",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,5,5,sitio grota sao pedro,claudio carneiro pinto,Brazil|2002|Not classified|NA|5
Brazil,2002,Not classified,NA,6,-1,Faz. Água Limpa II (Jorge…,–,NA,NA,"-, –",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,6,6,faz agua limpa ii jorge,,Brazil|2002|Not classified|NA|6
Brazil,2002,Not classified,NA,7,-1,Fazenda Bela Vista,Luiz Carlos Queiroz,NA,NA,"Mucuge, Bahia",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,7,7,fazenda bela vista,luiz carlos queiroz,Brazil|2002|Not classified|NA|7
Brazil,2002,Not classified,NA,8,-1,Fazenda Cachoeira do Cambuí,Ailton Santos,NA,NA,"Muzambinho, Minas Gerais",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,8,8,fazenda cachoeira do cambui,ailton santos,Brazil|2002|Not classified|NA|8
Brazil,2002,Not classified,NA,9,-1,Fazenda Caiana,–,NA,NA,"-, –",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,9,9,fazenda caiana,,Brazil|2002|Not classified|NA|9
Brazil,2002,Not classified,NA,10,-1,Faz. Capoeirinha (Conquista),–,NA,NA,"-, –",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,10,10,faz capoeirinha conquista,,Brazil|2002|Not classified|NA|10
Brazil,2002,Not classified,NA,11,-1,Fazenda Catuaí,–,NA,NA,"-, –",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,11,11,fazenda catuai,,Brazil|2002|Not classified|NA|11
Brazil,2002,Not classified,NA,12,-1,Fazenda do Serrado,Maria Rogéria Costa Pereira,NA,NA,"Carmo de Minas, Minas Gerais",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,12,12,fazenda do serrado,maria rogeria costa pereira,Brazil|2002|Not classified|NA|12
Brazil,2002,Not classified,NA,13,-1,Fazenda do Sertão,Nazareth Dias Pereira,NA,NA,"Carmo de Minas, Sul de Minas",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,13,13,fazenda do sertao,nazareth dias pereira,Brazil|2002|Not classified|NA|13
Brazil,2002,Not classified,NA,14,-1,Fazenda Embiral,Benedito Pereira Faria,NA,NA,"Pouso Alto, Minas Gerais",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,14,14,fazenda embiral,benedito pereira faria,Brazil|2002|Not classified|NA|14
Brazil,2002,Not classified,NA,15,-1,Fazenda Pedra Redonda,José Bernardes Santana,NA,NA,"Araponga, Minas Gerais",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,15,15,fazenda pedra redonda,jose bernardes santana,Brazil|2002|Not classified|NA|15
Brazil,2002,Not classified,NA,16,-1,Faz. Pinheirinho,–,NA,NA,"-, –",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,16,16,faz pinheirinho,,Brazil|2002|Not classified|NA|16
Brazil,2002,Not classified,NA,17,-1,Fazenda Santa Ines,Francisco Isidoro Dias Pereira,NA,NA,"Carmo de Minas, Minas Gerais",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,17,17,fazenda santa ines,francisco isidoro dias pereira,Brazil|2002|Not classified|NA|17
Brazil,2002,Not classified,NA,18,-1,Fazenda Santa inês,Luiz Botelho de Macedo Costa (Espólio),NA,NA,"São Sebastião da Grama, State of São Paulo",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,18,18,fazenda santa ines,luiz botelho de macedo costa espolio,Brazil|2002|Not classified|NA|18
Brazil,2002,Not classified,NA,19,-1,Fazenda Santa Lúcia,Helcio Carneiro Pinto,NA,NA,"Carmo de Minas, Sul de Minas",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,19,19,fazenda santa lucia,helcio carneiro pinto,Brazil|2002|Not classified|NA|19
Brazil,2002,Not classified,NA,20,-1,Fazenda Santa Rita,Claudio Junqueira Ferraz De Almeida,NA,NA,"Carmo De Minas, MG",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,20,20,fazenda santa rita,claudio junqueira ferraz de almeida,Brazil|2002|Not classified|NA|20
Brazil,2002,Not classified,NA,21,-1,Faz. Serra das Três Barras,–,NA,NA,"-, –",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,21,21,faz serra das tres barras,,Brazil|2002|Not classified|NA|21
Brazil,2002,Not classified,NA,22,-1,Fazenda Sertãozinho,Fazenda Sertãozinho,NA,NA,"Botelhos, Sul de Minas – Brasil",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,22,22,fazenda sertaozinho,fazenda sertaozinho,Brazil|2002|Not classified|NA|22
Brazil,2002,Not classified,NA,23,-1,Faz. Tabuões (Boa Vista),–,NA,NA,"-, –",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,23,23,faz tabuoes boa vista,,Brazil|2002|Not classified|NA|23
Brazil,2002,Not classified,NA,24,-1,Rancho São Benedito,Mariana De Carvalho Junqueira,NA,NA,"Dom Viçoso, MG",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,24,24,rancho sao benedito,mariana de carvalho junqueira,Brazil|2002|Not classified|NA|24
Brazil,2002,Not classified,NA,25,-1,Sítio Bom Destino,Guarino Bissoli,NA,NA,"-, –",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,25,25,sitio bom destino,guarino bissoli,Brazil|2002|Not classified|NA|25
Brazil,2002,Not classified,NA,26,-1,Sítio Cachoeira Alegre,–,NA,NA,"-, –",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,26,26,sitio cachoeira alegre,,Brazil|2002|Not classified|NA|26
Brazil,2002,Not classified,NA,27,-1,Sítio Córrego da Onça,–,NA,NA,"-, –",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,27,27,sitio corrego da onca,,Brazil|2002|Not classified|NA|27
Brazil,2002,Not classified,NA,28,-1,Sítio São José,Luiz Roberto Moreira Ribeiro,NA,NA,"Carmo de Minas, Minas Gerais",https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,FALSE,Not reported,28,28,sitio sao jose,luiz roberto moreira ribeiro,Brazil|2002|Not classified|NA|28
