process_group,process,process_family,n
NA,Washed,Washed,456
NA,Natural,Natural,427
NA,Honey,Honey / pulped natural,143
NA,WASHED,Washed,92
Natural,Natural,Natural,53
NA,Dry/Natural,Natural,44
Traditional Washed Processes,Washed,Washed,42
NA,NA,Not reported,38
NA,NATURAL,Natural,37
Exotic Washed,Washed,Washed,27
Experimental,Experimental,Experimental,25
Traditional Honey & Natural Processes,Natural,Natural,25
Traditional Honey & Natural Processes,Honey,Honey / pulped natural,24
NA,Anaerobic,Experimental,24
Exotic Natural & Honey,Natural,Natural,20
NA,Pulped Natural,Honey / pulped natural,20
Washed + Honey,Honey,Honey / pulped natural,19
NA,Lavado,Washed,19
Washed Processes,Washed,Washed,16
Natural & Honey,Natural,Natural,14
Ready to Bid on Taiwan's Best Coffees?,Natural,Natural,14
NA,Washed Anaerobic,Experimental,14
NA,NATURAL ANAEROBICO,Experimental,13
Exotic Varieties,Washed,Washed,11
Experimental,Pending,Experimental,11
Wet,Pulped Natural,Honey / pulped natural,11
NA,Natural Anaerobic,Experimental,11
NA,Semi-Washed,Honey / pulped natural,11
Dry,Natural,Natural,10
One Of A Kind,Washed,Washed,8
NA,Anaeróbico,Experimental,8
NA,HONEY,Honey / pulped natural,8
Experimental,Anaerobic fermentation,Experimental,7
Experimental,Fermentation,Experimental,7
One Of A Kind,Natural,Natural,7
Ready to Bid on Taiwan's Best Coffees?,Honey,Honey / pulped natural,7
Ready to Bid on Taiwan's Best Coffees?,Washed,Washed,7
NA,ANAEROBIC WASHED,Experimental,7
NA,Anaerobic Natural,Experimental,7
Experimental,Natural Anaerobico,Experimental,6
Honduras Traditional Varieties,Washed,Washed,6
TRADITIONAL WASHED PROCESSES,Washed,Washed,6
Washed + Honey,Pulped,Honey / pulped natural,6
Washed + Honey,Pulped Natural,Honey / pulped natural,6
NA,Wet Hulled,Washed,6
Experimental,Lavado / Anaerobico,Experimental,5
Experimental,Natural,Experimental,5
Experimental,Washed,Experimental,5
Parainema Variety,Washed,Washed,5
Washed + Honey,Washed,Washed,5
Exotic Natural & Honey,Honey,Honey / pulped natural,4
Experimental,Natural / Anaerobico,Experimental,4
NA,Anaerobic Washed,Experimental,4
NA,Dry Hulled,Natural,4
Exotic Varieties,Natural,Natural,3
Experimental,Washed Anaerobico,Experimental,3
Honduras Traditional Varieties,Honey,Honey / pulped natural,3
One Of A Kind,Honey,Honey / pulped natural,3
Washed + Honey,Lavado,Washed,3
NA,ANAEROBIC WASH,Experimental,3
NA,Carbonic Maceration Natural,Experimental,3
NA,Natural Anaerobico,Experimental,3
NA,WASHED ANAEROBICO,Experimental,3
Exotic Washed,Lavado,Washed,2
Experimental,Anaerobic Fermentation,Experimental,2
Experimental,Fermented,Experimental,2
Experimental,Honey / Anaerobico,Experimental,2
Experimental,Macro-aerobic fermentation,Experimental,2
Experimental,Natural / Maceracion Carbonica,Experimental,2
Honduras Traditional Varieties,Natural,Natural,2
Natural & Honey,Honey,Honey / pulped natural,2
Parainema Variety,Natural,Natural,2
Traditional Honey & Natural Processes,Semi lavado,Honey / pulped natural,2
Washed + Honey,Demucilaged,Honey / pulped natural,2
Wet,Honey,Honey / pulped natural,2
NA,Honey Anaerobic,Experimental,2
NA,Natural Honey,Honey / pulped natural,2
NA,SEMIL – WASHED,Washed,2
NA,Wet Hull,Washed,2
Dry,Geisha,Not reported,1
EXPERIMENTAL,Exerimental,Experimental,1
Exotic Varieties,Honey,Honey / pulped natural,1
Experimental,Aerobic Fermentation,Experimental,1
Experimental,Anaerobic,Experimental,1
Experimental,Fermented Honey,Experimental,1
Experimental,Fermented Natural,Experimental,1
Experimental,Honey,Experimental,1
Experimental,Honey Anaerobico,Experimental,1
Experimental,Pedro Bras Top,Experimental,1
Experimental,Yellow Catucaí 24 137,Experimental,1
TRADITIONAL HONEY & NATURAL PROCESSES,Natural,Natural,1
Traditional Honey & Natural Processes,Black Honey,Honey / pulped natural,1
Washed + Honey,Depulped,Honey / pulped natural,1
Washed + Honey,SemiWashed,Washed,1
Wet,Washed,Washed,1
NA,ANAEROBIC MC WASHED,Experimental,1
NA,Anaerobic Honey,Experimental,1
NA,Anaerobic NP,Experimental,1
NA,Carbonic Maceration Honey,Experimental,1
NA,Despolpado,Not reported,1
NA,Fermented Honey process,Experimental,1
NA,Fermented Natural Process,Experimental,1
NA,Fully Washed,Washed,1
NA,HONEY ANAEROBICO,Experimental,1
NA,Honey Caramella,Honey / pulped natural,1
NA,Honey double fermentation,Experimental,1
NA,Honey/02,Honey / pulped natural,1
NA,Lactic Natural,Natural,1
NA,Mossto Natural,Natural,1
NA,Natural – Carbonic Maceration,Experimental,1
