country,year,program,process_family,entries,total_entries,reported_entries,share_all,share_reported
Brazil,2021,COE,Honey / pulped natural,13,31,31,0.41935483870967744,0.41935483870967744
Brazil,2021,COE,Natural,16,31,31,0.5161290322580645,0.5161290322580645
Brazil,2021,COE,Washed,2,31,31,0.06451612903225806,0.06451612903225806
Brazil,2021,NW,Natural,3,3,3,1,1
Brazil,2022,COE,Honey / pulped natural,7,24,23,0.2916666666666667,0.30434782608695654
Brazil,2022,COE,Natural,16,24,23,0.6666666666666666,0.6956521739130435
Brazil,2022,COE,Not reported,1,24,23,0.041666666666666664,NA
Brazil,2022,NW,Natural,2,2,2,1,1
Brazil,2023,COE,Experimental,10,30,30,0.3333333333333333,0.3333333333333333
Brazil,2023,COE,Honey / pulped natural,9,30,30,0.3,0.3
Brazil,2023,COE,Natural,10,30,30,0.3333333333333333,0.3333333333333333
Brazil,2023,COE,Washed,1,30,30,0.03333333333333333,0.03333333333333333
Brazil,2023,NW,Experimental,1,6,5,0.16666666666666666,0.2
Brazil,2023,NW,Honey / pulped natural,4,6,5,0.6666666666666666,0.8
Brazil,2023,NW,Not reported,1,6,5,0.16666666666666666,NA
Brazil,2024,COE,Experimental,8,30,30,0.26666666666666666,0.26666666666666666
Brazil,2024,COE,Honey / pulped natural,11,30,30,0.36666666666666664,0.36666666666666664
Brazil,2024,COE,Natural,11,30,30,0.36666666666666664,0.36666666666666664
Brazil,2024,NW,Experimental,1,8,8,0.125,0.125
Brazil,2024,NW,Honey / pulped natural,3,8,8,0.375,0.375
Brazil,2024,NW,Natural,4,8,8,0.5,0.5
Brazil,2025,COE,Experimental,10,30,30,0.3333333333333333,0.3333333333333333
Brazil,2025,COE,Honey / pulped natural,9,30,30,0.3,0.3
Brazil,2025,COE,Natural,10,30,30,0.3333333333333333,0.3333333333333333
Brazil,2025,COE,Washed,1,30,30,0.03333333333333333,0.03333333333333333
Brazil,2025,NW,Experimental,4,9,9,0.4444444444444444,0.4444444444444444
Brazil,2025,NW,Honey / pulped natural,1,9,9,0.1111111111111111,0.1111111111111111
Brazil,2025,NW,Natural,3,9,9,0.3333333333333333,0.3333333333333333
Brazil,2025,NW,Washed,1,9,9,0.1111111111111111,0.1111111111111111
Colombia,2021,COE,Experimental,4,25,25,0.16,0.16
Colombia,2021,COE,Honey / pulped natural,2,25,25,0.08,0.08
Colombia,2021,COE,Natural,4,25,25,0.16,0.16
Colombia,2021,COE,Washed,15,25,25,0.6,0.6
Colombia,2022,COE,Experimental,3,24,24,0.125,0.125
Colombia,2022,COE,Honey / pulped natural,2,24,24,0.08333333333333333,0.08333333333333333
Colombia,2022,COE,Natural,4,24,24,0.16666666666666666,0.16666666666666666
Colombia,2022,COE,Washed,15,24,24,0.625,0.625
Colombia,2023,COE,Experimental,6,31,31,0.1935483870967742,0.1935483870967742
Colombia,2023,COE,Honey / pulped natural,7,31,31,0.22580645161290322,0.22580645161290322
Colombia,2023,COE,Natural,2,31,31,0.06451612903225806,0.06451612903225806
Colombia,2023,COE,Washed,16,31,31,0.5161290322580645,0.5161290322580645
Costa Rica,2021,COE,Experimental,5,33,33,0.15151515151515152,0.15151515151515152
Costa Rica,2021,COE,Honey / pulped natural,14,33,33,0.42424242424242425,0.42424242424242425
Costa Rica,2021,COE,Natural,7,33,33,0.21212121212121213,0.21212121212121213
Costa Rica,2021,COE,Washed,7,33,33,0.21212121212121213,0.21212121212121213
Costa Rica,2022,COE,Experimental,6,25,25,0.24,0.24
Costa Rica,2022,COE,Honey / pulped natural,10,25,25,0.4,0.4
Costa Rica,2022,COE,Natural,4,25,25,0.16,0.16
Costa Rica,2022,COE,Washed,5,25,25,0.2,0.2
Costa Rica,2022,NW,Experimental,2,10,10,0.2,0.2
Costa Rica,2022,NW,Honey / pulped natural,1,10,10,0.1,0.1
Costa Rica,2022,NW,Natural,6,10,10,0.6,0.6
Costa Rica,2022,NW,Washed,1,10,10,0.1,0.1
Costa Rica,2023,COE,Experimental,6,33,33,0.18181818181818182,0.18181818181818182
Costa Rica,2023,COE,Honey / pulped natural,9,33,33,0.2727272727272727,0.2727272727272727
Costa Rica,2023,COE,Natural,12,33,33,0.36363636363636365,0.36363636363636365
Costa Rica,2023,COE,Washed,6,33,33,0.18181818181818182,0.18181818181818182
Costa Rica,2023,NW,Experimental,2,3,3,0.6666666666666666,0.6666666666666666
Costa Rica,2023,NW,Honey / pulped natural,1,3,3,0.3333333333333333,0.3333333333333333
Costa Rica,2024,COE,Experimental,7,33,33,0.21212121212121213,0.21212121212121213
Costa Rica,2024,COE,Honey / pulped natural,11,33,33,0.3333333333333333,0.3333333333333333
