country,year,program,entries,valid_scores,missing_scores,score_min,score_median,score_max
Brazil,2021,COE,31,31,0,87.1,88.1,90.5
Brazil,2021,NW,3,3,0,86.53,86.83,86.97
Brazil,2022,COE,24,24,0,87.09,87.825,91.41
Brazil,2022,NW,2,2,0,86.81,86.875,86.94
Brazil,2023,COE,30,30,0,87.24,88.485,92.15
Brazil,2023,NW,6,6,0,85.76,86.895,87.32
Brazil,2024,COE,30,30,0,88.11,90.175,93.14
Brazil,2024,NW,8,8,0,86.07,86.88999999999999,88.14
Brazil,2025,COE,30,30,0,87.37,89.095,91.68
Brazil,2025,NW,9,9,0,86.2,87.3,87.9
Colombia,2021,COE,25,25,0,87.11,87.93,90.61
Colombia,2022,COE,24,24,0,87,87.66499999999999,90.65
Colombia,2023,COE,31,31,0,87.06,88,90.61
Costa Rica,2021,COE,33,33,0,87.37,88.27,90.89
Costa Rica,2022,COE,25,25,0,87.09,88.53,91.08
Costa Rica,2022,NW,10,10,0,85.32,86.42500000000001,86.82
Costa Rica,2023,COE,33,33,0,87.29,88.25,91.08
Costa Rica,2023,NW,3,3,0,86.54,87.08,87.17
Costa Rica,2024,COE,33,33,0,87.04,89.04,93.62
Costa Rica,2024,NW,1,1,0,87.42,87.42,87.42
Costa Rica,2025,COE,33,33,0,87.22,88.78,91.22
Ecuador,2021,COE,25,25,0,87.21,88.39,90.39
Ecuador,2021,NW,5,5,0,85.21,86.54,86.86
Ecuador,2022,COE,18,18,0,87,87.755,90.28
Ecuador,2023,COE,19,19,0,87.11,89.17,91.22
El Salvador,2021,COE,27,27,0,87.2,88.5,91.68
El Salvador,2021,NW,14,14,0,85.93,86.67,86.97
El Salvador,2022,COE,30,30,0,87.45,88.47,91.82
El Salvador,2022,NW,4,4,0,86.34,86.68,86.89
El Salvador,2023,COE,33,33,0,87.39,88.54,91.82
El Salvador,2023,NW,6,6,0,86.64,87.1,87.29
El Salvador,2024,COE,30,30,0,87.14,88.5,92
