event_id,country,year,program,event_name,source_url,lots,prices_reported,weights_reported,buyers_reported,price_coverage,weight_coverage,buyer_coverage
006d132a118d0da8,Nicaragua,2003,COE,2003,https://allianceforcoffeeexcellence.org/nicaragua-2003/,37,37,0,37,1,0,1
033b9c6652fed90f,El Salvador,2022,COE,El Salvador 2022,https://allianceforcoffeeexcellence.org/el-salvador-2022/,30,30,30,30,1,1,1
049e1f574d37b6f7,Peru,2021,COE,Peru 2021,https://allianceforcoffeeexcellence.org/peru-2021/,27,27,27,27,1,1,1
04cf157e5060655a,Guatemala,2018,COE,2018,https://allianceforcoffeeexcellence.org/guatemala-2018/,37,37,0,37,1,0,1
04cf157e5060655a,Guatemala,2018,NW,2018,https://allianceforcoffeeexcellence.org/guatemala-2018/,4,4,4,4,1,1,1
05dea4f9ef49cf00,Colombia,2018,COE,2018,https://allianceforcoffeeexcellence.org/colombia-2018/,36,36,0,36,1,0,1
07530078211d9a65,El Salvador,2015,COE,2015,https://allianceforcoffeeexcellence.org/el-salvador-2015/,27,27,0,27,1,0,1
07a149006df074a2,Guatemala,2017,COE,2017,https://allianceforcoffeeexcellence.org/guatemala-2017/,30,30,0,30,1,0,1
07a149006df074a2,Guatemala,2017,NW,2017,https://allianceforcoffeeexcellence.org/guatemala-2017/,10,10,0,10,1,0,1
09d57f1b6eace9c6,Guatemala,2012,COE,2012,https://allianceforcoffeeexcellence.org/guatemala-2012/,23,23,0,23,1,0,1
0c50203e4ea9e6e7,El Salvador,2017,COE,2017,https://allianceforcoffeeexcellence.org/el-salvador-2017/,26,26,0,26,1,0,1
0c50203e4ea9e6e7,El Salvador,2017,NW,2017,https://allianceforcoffeeexcellence.org/el-salvador-2017/,7,7,0,7,1,0,1
101c33c318834c3a,Brazil,2015,COE,2015 January,https://allianceforcoffeeexcellence.org/brazil-naturals-2015-january/,23,23,0,23,1,0,1
10b05a69b2ee99bc,Thailand,2024,COE,Thailand 2024,https://allianceforcoffeeexcellence.org/thailand-2024/,29,29,29,29,1,1,1
1105bfdd52f0c6fb,Costa Rica,2011,COE,2011,https://allianceforcoffeeexcellence.org/costa-rica-2011/,31,31,0,31,1,0,1
11b46c35400dc616,Brazil,2009,COE,2009,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2009/,26,26,0,26,1,0,1
183f05090c9a1140,Costa Rica,2024,COE,Costa Rica 2024,https://allianceforcoffeeexcellence.org/costa-rica-2024/,33,33,33,33,1,1,1
1a1cc9a2fd677144,Honduras,2022,COE,Honduras 2022,https://allianceforcoffeeexcellence.org/honduras-2022/,27,27,27,27,1,1,1
208d8a119b3fcd68,Brazil,2014,COE,2014,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2014/,21,21,0,21,1,0,1
20a6b645aa948554,Colombia,2023,COE,Colombia 2023,https://allianceforcoffeeexcellence.org/colombia-2023/,31,31,31,31,1,1,1
216beb519b06ab27,Peru,2025,COE,Peru 2025,https://allianceforcoffeeexcellence.org/peru-2025/,32,32,32,32,1,1,1
2275524667da73bd,Taiwan,2025,COE,Taiwan 2025,https://allianceforcoffeeexcellence.org/taiwan-2025/,28,28,28,28,1,1,1
236a55b8dc898b6b,El Salvador,2011,COE,2011,https://allianceforcoffeeexcellence.org/el-salvador-2011/,42,42,0,42,1,0,1
265090fe20b129cd,El Salvador,2018,COE,2018,https://allianceforcoffeeexcellence.org/el-salvador-2018/,42,42,0,42,1,0,1
