event_id,country,year,program,process_group,rank,rank_key,entry_rank,lot_key,entry_key,match_status,unmatched_reason,exact_candidates,rank_candidates,final_bid_usd_lb,weight_lb,total_value_usd,buyer,source_url
86f5fadc62969c5f,Bolivia,2004,COE,NA,1,1,1,86f5fadc62969c5f|COE|NA|1,86f5fadc62969c5f|COE|NA|1,matched: process group and rank,NA,1,1,11.25,NA,32986.67,Solberg & Hansen AS,https://allianceforcoffeeexcellence.org/bolivia-2004/
86f5fadc62969c5f,Bolivia,2004,COE,NA,2,2,2,86f5fadc62969c5f|COE|NA|2,86f5fadc62969c5f|COE|NA|2,matched: process group and rank,NA,1,1,10.05,NA,27917.14,Maruyama Coffee for Mikatajuku group,https://allianceforcoffeeexcellence.org/bolivia-2004/
86f5fadc62969c5f,Bolivia,2004,COE,NA,3,3,3,86f5fadc62969c5f|COE|NA|3,86f5fadc62969c5f|COE|NA|3,matched: process group and rank,NA,1,1,10,NA,13889.12,Time’s Club and C-Coop,https://allianceforcoffeeexcellence.org/bolivia-2004/
86f5fadc62969c5f,Bolivia,2004,COE,NA,4,4,4,86f5fadc62969c5f|COE|NA|4,86f5fadc62969c5f|COE|NA|4,matched: process group and rank,NA,1,1,5.25,NA,8101.99,The Roasterie Inc,https://allianceforcoffeeexcellence.org/bolivia-2004/
86f5fadc62969c5f,Bolivia,2004,COE,NA,5,5,5,86f5fadc62969c5f|COE|NA|5,86f5fadc62969c5f|COE|NA|5,matched: process group and rank,NA,1,1,8.05,NA,11180.74,"Intelligentsia, Coffee Tree Roasters, and The Stumptown",https://allianceforcoffeeexcellence.org/bolivia-2004/
86f5fadc62969c5f,Bolivia,2004,COE,NA,6,6,6,86f5fadc62969c5f|COE|NA|6,86f5fadc62969c5f|COE|NA|6,matched: process group and rank,NA,1,1,5.55,NA,7708.46,"Caravan Coffee Co.,Ltd.",https://allianceforcoffeeexcellence.org/bolivia-2004/
86f5fadc62969c5f,Bolivia,2004,COE,NA,7,7,7,86f5fadc62969c5f|COE|NA|7,86f5fadc62969c5f|COE|NA|7,matched: process group and rank,NA,1,1,5.7,NA,7916.8,"Schluter & Maack for Hagen Kaffee, Lloyd Caffee, Laier Kaffeerosterei, Wasserburger Kaffee, mondo del caffÃ¨",https://allianceforcoffeeexcellence.org/bolivia-2004/
86f5fadc62969c5f,Bolivia,2004,COE,NA,8,8,8,86f5fadc62969c5f|COE|NA|8,86f5fadc62969c5f|COE|NA|8,matched: process group and rank,NA,1,1,6.01,NA,9274.85,Solberg & Hansen for Kaffebrenneriet AS,https://allianceforcoffeeexcellence.org/bolivia-2004/
86f5fadc62969c5f,Bolivia,2004,COE,NA,9,9,9,86f5fadc62969c5f|COE|NA|9,86f5fadc62969c5f|COE|NA|9,matched: process group and rank,NA,1,1,5.1,NA,7083.45,"World Coffee Co.,Ltd.",https://allianceforcoffeeexcellence.org/bolivia-2004/
86f5fadc62969c5f,Bolivia,2004,COE,NA,10,10,10,86f5fadc62969c5f|COE|NA|10,86f5fadc62969c5f|COE|NA|10,matched: process group and rank,NA,1,1,5.05,NA,10910.68,"Toa Coffee Co.,Ltd.",https://allianceforcoffeeexcellence.org/bolivia-2004/
86f5fadc62969c5f,Bolivia,2004,COE,NA,11,11,11,86f5fadc62969c5f|COE|NA|11,86f5fadc62969c5f|COE|NA|11,matched: process group and rank,NA,1,1,4.8,NA,6666.78,Stumptown,https://allianceforcoffeeexcellence.org/bolivia-2004/
86f5fadc62969c5f,Bolivia,2004,COE,NA,12,12,12,86f5fadc62969c5f|COE|NA|12,86f5fadc62969c5f|COE|NA|12,matched: process group and rank,NA,1,1,5,NA,7716.18,"Coffee Masters, Inc.",https://allianceforcoffeeexcellence.org/bolivia-2004/
86f5fadc62969c5f,Bolivia,2004,COE,NA,13,13,13,86f5fadc62969c5f|COE|NA|13,86f5fadc62969c5f|COE|NA|13,matched: process group and rank,NA,1,1,4.66,NA,7910.63,Katocoffee Inc.,https://allianceforcoffeeexcellence.org/bolivia-2004/
cbe3c4b09a54bec0,Bolivia,2005,COE,NA,1,1,1,cbe3c4b09a54bec0|COE|NA|1,cbe3c4b09a54bec0|COE|NA|1,matched: process group and rank,NA,1,1,12.55,NA,30988.18,"Small Axe Coffee Alliance – Intelligentsia, Coffee Tree Roasters, Coffee Klatch, Paradise Roasters, Caffe Pronto, Sweet Maria’s, PT’s coffee, Gimme Coffee, Barefoot Coffee, Victrola, Groundworks, Alpen Sierra, 49th Parallel, Ecco Caffe, Maruyama Coffee fo",https://allianceforcoffeeexcellence.org/bolivia-2005/
cbe3c4b09a54bec0,Bolivia,2005,COE,NA,2,2,2,cbe3c4b09a54bec0|COE|NA|2,cbe3c4b09a54bec0|COE|NA|2,matched: process group and rank,NA,1,1,5.9,NA,18210.18,"Bontain Coffee Co.,Ltd.",https://allianceforcoffeeexcellence.org/bolivia-2005/
