event_id,country,year,program,match_status,unmatched_reason,lots,event_lots,share_of_event_lots
006d132a118d0da8,Nicaragua,2003,COE,matched: process group and rank,NA,37,37,1
033b9c6652fed90f,El Salvador,2022,COE,matched: process group and rank,NA,30,30,1
049e1f574d37b6f7,Peru,2021,COE,matched: process group and rank,NA,27,27,1
04cf157e5060655a,Guatemala,2018,COE,matched: process group and rank,NA,37,37,1
04cf157e5060655a,Guatemala,2018,NW,no competition entry,auction program without competition table,4,4,1
05dea4f9ef49cf00,Colombia,2018,COE,matched: process group and rank,NA,36,36,1
07530078211d9a65,El Salvador,2015,COE,matched: process group and rank,NA,27,27,1
07a149006df074a2,Guatemala,2017,COE,matched: process group and rank,NA,30,30,1
07a149006df074a2,Guatemala,2017,NW,no competition entry,auction program without competition table,10,10,1
09d57f1b6eace9c6,Guatemala,2012,COE,matched: process group and rank,NA,23,23,1
0c50203e4ea9e6e7,El Salvador,2017,COE,matched: process group and rank,NA,26,26,1
0c50203e4ea9e6e7,El Salvador,2017,NW,no competition entry,auction program without competition table,7,7,1
101c33c318834c3a,Brazil,2015,COE,matched: process group and rank,NA,23,23,1
10b05a69b2ee99bc,Thailand,2024,COE,matched: process group and rank,NA,29,29,1
1105bfdd52f0c6fb,Costa Rica,2011,COE,matched: process group and rank,NA,31,31,1
11b46c35400dc616,Brazil,2009,COE,matched: process group and rank,NA,26,26,1
183f05090c9a1140,Costa Rica,2024,COE,matched: process group and rank,NA,33,33,1
1a1cc9a2fd677144,Honduras,2022,COE,matched: process group and rank,NA,27,27,1
208d8a119b3fcd68,Brazil,2014,COE,matched: process group and rank,NA,21,21,1
20a6b645aa948554,Colombia,2023,COE,matched: process group and rank,NA,31,31,1
216beb519b06ab27,Peru,2025,COE,matched: process group and rank,NA,32,32,1
2275524667da73bd,Taiwan,2025,COE,matched: process group and rank,NA,28,28,1
236a55b8dc898b6b,El Salvador,2011,COE,matched: process group and rank,NA,42,42,1
265090fe20b129cd,El Salvador,2018,COE,matched: process group and rank,NA,42,42,1
27e30bcdac0c444c,Ethiopia,2024,COE,matched: process group and rank,NA,29,29,1
27f98df4f5c3dba9,El Salvador,2010,COE,matched: process group and rank,NA,30,30,1
29ce078048b6ca5a,Brazil,2016,COE,matched: process group and rank,NA,24,24,1
2a8e5a9baaa80905,Thailand,2023,COE,matched: process group and rank,NA,17,17,1
2b2f8fc82c5e8056,Ethiopia,2021,COE,matched: process group and rank,NA,33,33,1
2ce15a7f40ccc6a3,Taiwan,2024,COE,matched: process group and rank,NA,20,20,1
2ce1a77eff6cdd28,Honduras,2016,COE,matched: process group and rank,NA,26,26,1
2d66f52827193519,Mexico,2024,COE,matched: process group and rank,NA,44,44,1
30131012ffca0563,Colombia,2007,COE,matched: process group and rank,NA,30,30,1
306cdc3f652cd29f,Nicaragua,2015,COE,matched: process group and rank,NA,36,36,1
319d40e9b8e35a24,Nicaragua,2022,COE,matched: process group and rank,NA,27,27,1
3252450a1c4f202d,Rwanda,2018,COE,matched: process group and rank,NA,31,31,1
3252450a1c4f202d,Rwanda,2018,NW,no competition entry,auction program without competition table,7,7,1
3323c637ef5cd812,Costa Rica,2020,COE,no competition entry,auction event without competition table,28,28,1
33788018ae7fb5b7,Costa Rica,2021,COE,matched: process group and rank,NA,33,33,1
344ddab608c8d8c8,Bolivia,2007,COE,matched: process group and rank,NA,26,26,1
35258d5d107d50f1,Indonesia,2022,COE,matched: process group and rank,NA,23,23,1
3658e3cf0f8b901b,Guatemala,2010,COE,matched: process group and rank,NA,28,28,1
36f7881408411ac3,El Salvador,2024,COE,matched: process group and rank,NA,33,33,1
374bae6a9cdc8d6c,Brazil,2022,COE,matched: process group and rank,NA,27,27,1
378b15a9f8e37b92,Colombia,2019,COE,matched: process group and rank,NA,34,34,1
38b2d2e3c7e71d0f,Brazil,2017,COE,matched: process group and rank,NA,28,28,1
38b2d2e3c7e71d0f,Brazil,2017,NW,no competition entry,auction program without competition table,8,8,1
3963608e04ba6462,Mexico,2014,COE,matched: process group and rank,NA,19,19,1
39c4de609fc7f6d0,Costa Rica,2008,COE,matched: process group and rank,NA,30,30,1
3a9e10cfadb01ede,Honduras,2012,COE,matched: process group and rank,NA,20,20,1
3b14ef284fc16bc7,Guatemala,2020,COE,no competition entry,auction event without competition table,31,31,1
3d618d74f19c5393,El Salvador,2009,COE,matched: process group and rank,NA,33,33,1
3eba8775b8710914,Peru,2023,COE,matched: process group and rank,NA,33,33,1
3f24f65f0fcace40,Peru,2022,COE,matched: process group and rank,NA,32,32,1
3f6557f6d36b2162,Costa Rica,2018,COE,matched: process group and rank,NA,42,42,1
3f6557f6d36b2162,Costa Rica,2018,NW,no competition entry,auction program without competition table,5,5,1
3fdd9aa5fb9dcee3,Ethiopia,2020,COE,no competition entry,auction event without competition table,31,31,1
415b9957427e9382,Rwanda,2013,COE,matched: process group and rank,NA,15,15,1
41c894e8f5792c14,Bolivia,2009,COE,matched: process group and rank,NA,30,30,1
44540f168407c8ad,Costa Rica,2012,COE,matched: process group and rank,NA,27,27,1
44619d3e719c99ef,Brazil,2008,COE,matched: process group and rank,NA,23,23,1
4891a599b8c371e3,Guatemala,2007,COE,matched: process group and rank,NA,19,19,1
49d1caf44685b143,Guatemala,2015,COE,matched: process group and rank,NA,24,24,1
4b1d2194122da044,Guatemala,2014,COE,matched: process group and rank,NA,24,24,1
4b2992b9faf3f4f6,El Salvador,2020,COE,no competition entry,auction event without competition table,23,23,1
4cb76103d3072242,Honduras,2004,COE,matched: process group and rank,NA,21,21,1
4d450701ea8feb17,Brazil,2025,COE,matched: process group and rank,NA,33,33,1
4ddbb0cda233441d,Ethiopia,2022,COE,matched: process group and rank,NA,32,32,1
4e0a635e5b9cd136,Peru,2018,COE,matched: process group and rank,NA,24,24,1
4e0a635e5b9cd136,Peru,2018,NW,no competition entry,auction program without competition table,8,8,1
4f4bfa360131e53c,El Salvador,2025,COE,matched: process group and rank,NA,31,34,0.9117647058823529
4f4bfa360131e53c,El Salvador,2025,COE,matched: unique event rank,NA,3,34,0.08823529411764706
4f643bafa11775bd,Guatemala,2013,COE,matched: process group and rank,NA,23,23,1
512074cd9f5e0fb3,Peru,2020,COE,no competition entry,auction event without competition table,25,25,1
5128a3c5edf58a16,Guatemala,2011,COE,matched: process group and rank,NA,29,29,1
54e133d3a0bc6ff3,Honduras,2014,COE,matched: process group and rank,NA,23,23,1
558daec13f90276f,El Salvador,2014,COE,matched: process group and rank,NA,33,33,1
563b2176a64e6691,Costa Rica,2025,COE,matched: process group and rank,NA,33,37,0.8918918918918919
563b2176a64e6691,Costa Rica,2025,COE,no competition entry,rank outside reported competition table,4,37,0.10810810810810811
5690e5dd7b7859d2,Brazil,2023,COE,matched: process group and rank,NA,30,30,1
56e67cb59fb81745,Costa Rica,2015,COE,matched: process group and rank,NA,35,35,1
56f3d93e6d53724a,Brazil,2018,COE,matched: process group and rank,NA,45,45,1
58d0dda26a0c47c5,Brazil,2019,COE,matched: process group and rank,NA,30,30,1
5971844d6c5e2009,Nicaragua,2010,COE,matched: process group and rank,NA,27,27,1
597c46cc3f0e2bd1,Honduras,2010,COE,matched: process group and rank,NA,25,25,1
5a4325fd738bec15,Ecuador,2023,COE,matched: process group and rank,NA,19,19,1
5add2920159e49b6,Burundi,2019,COE,matched: process group and rank,NA,21,21,1
5b0c683a06c2fd21,Brazil,2000,COE,matched: process group and rank,NA,18,18,1
6125b41b95ca5561,Burundi,2018,COE,matched: process group and rank,NA,36,36,1
6125b41b95ca5561,Burundi,2018,NW,no competition entry,auction program without competition table,6,6,1
616f537ef2678bf7,Burundi,2012,COE,matched: process group and rank,NA,17,17,1
633bbe248a592d8c,Honduras,2025,COE,matched: process group and rank,NA,33,33,1
6380da67582687f1,Brazil,2002,COE,matched: process group and rank,NA,28,28,1
648ba67dc99a9346,El Salvador,2019,COE,matched: process group and rank,NA,27,27,1
6646acbd1638b6ee,Bolivia,2008,COE,matched: process group and rank,NA,29,29,1
69a12e0f55740ef8,Rwanda,2008,COE,matched: process group and rank,NA,24,24,1
6b9d377e893fb5d8,El Salvador,2008,COE,matched: process group and rank,NA,36,36,1
6dc5bb1377bf2317,Brazil,2011,COE,matched: process group and rank,NA,31,31,1
70d2a14e35e4a127,Brazil,2020,COE,no competition entry,auction event without competition table,30,30,1
7271aa2d4ce78a13,Guatemala,2023,COE,matched: process group and rank,NA,31,31,1
7294b6371afc8507,El Salvador,2013,COE,matched: process group and rank,NA,26,26,1
730e5b8120156480,Honduras,2024,COE,matched: process group and rank,NA,32,32,1
7596cdc55b1b13b7,El Salvador,2007,COE,matched: process group and rank,NA,23,23,1
762c57dba751e942,Nicaragua,2007,COE,matched: process group and rank,NA,34,34,1
7887cd6f3b2c4612,Colombia,2006,COE,matched: process group and rank,NA,23,23,1
7b46413689f41744,Nicaragua,2023,COE,matched: process group and rank,NA,18,18,1
7b8b2a60ec93c4dc,Honduras,2006,COE,matched: process group and rank,NA,33,33,1
7ba223eeaf3a9cb7,Brazil,2017,COE,matched: process group and rank,NA,37,37,1
7ba223eeaf3a9cb7,Brazil,2017,NW,no competition entry,auction program without competition table,5,5,1
7cd41b217cdcd97e,Mexico,2017,COE,matched: process group and rank,NA,22,22,1
7cd41b217cdcd97e,Mexico,2017,NW,no competition entry,auction program without competition table,9,9,1
7d2b8caa9301eabc,Indonesia,2023,COE,matched: process group and rank,NA,25,25,1
7e63f3505a9fd29f,Colombia,2009,COE,matched: process group and rank,NA,27,27,1
7eda394b87ad5966,Nicaragua,2025,COE,matched: process group and rank,NA,31,31,1
7ee7c9627e3a94bd,Colombia,2011,COE,matched: process group and rank,NA,22,22,1
7f40430980f0b5e6,Nicaragua,2018,COE,matched: process group and rank,NA,40,40,1
7f40430980f0b5e6,Nicaragua,2018,NW,no competition entry,auction program without competition table,3,3,1
8191f8204aa713fa,Guatemala,2016,COE,matched: process group and rank,NA,25,25,1
81ba66b9c2fe1d13,Brazil,2013,COE,matched: process group and rank,NA,22,22,1
8490c0273821d2a1,Mexico,2021,COE,matched: process group and rank,NA,33,33,1
84ad38b1037dcc19,Nicaragua,2020,COE,no competition entry,auction event without competition table,18,18,1
85b770ec2ac11ac8,Honduras,2008,COE,matched: process group and rank,NA,26,26,1
85dbbeca6dd82687,Rwanda,2015,COE,matched: process group and rank,NA,23,23,1
8609cb0c260326a4,Rwanda,2012,COE,matched: process group and rank,NA,26,26,1
86196d6e98565c85,Costa Rica,2017,COE,matched: process group and rank,NA,32,32,1
86196d6e98565c85,Costa Rica,2017,NW,no competition entry,auction program without competition table,3,3,1
86f5fadc62969c5f,Bolivia,2004,COE,matched: process group and rank,NA,13,13,1
8783a594e2c5082b,Brazil,2014,COE,matched: process group and rank,NA,23,23,1
88ab413a4b17ecde,Honduras,2019,COE,matched: process group and rank,NA,33,33,1
8aabc8f0143025f3,Honduras,2011,COE,matched: process group and rank,NA,33,33,1
8b291231c7145e12,Honduras,2015,COE,matched: process group and rank,NA,37,37,1
8ba1050b3deba653,Colombia,2013,COE,matched: process group and rank,NA,20,20,1
8df430f321dfebe7,Nicaragua,2014,COE,matched: process group and rank,NA,25,25,1
8ec9c5ddcac94e33,Colombia,2021,COE,matched: process group and rank,NA,25,25,1
8f48007819e94a7e,Guatemala,2022,COE,matched: process group and rank,NA,33,33,1
8f910a10a522a6e4,Brazil,2024,COE,matched: process group and rank,NA,24,24,1
90ce520eb2b1c7b3,Brazil,2012,COE,matched: process group and rank,NA,24,24,1
924c6ccd256e3867,Colombia,2005,COE,matched: process group and rank,NA,25,25,1
932be81913d4d6cc,Ecuador,2022,COE,matched: process group and rank,NA,19,19,1
94e0f75eb8b007ec,Guatemala,2019,COE,matched: process group and rank,NA,23,23,1
958690440cdbefb5,Nicaragua,2002,COE,matched: process group and rank,NA,23,37,0.6216216216216216
958690440cdbefb5,Nicaragua,2002,COE,no competition entry,rank outside reported competition table,14,37,0.3783783783783784
95f3bb26fec856b9,Nicaragua,2024,COE,matched: process group and rank,NA,31,31,1
96a5d35a9035433e,Mexico,2012,COE,matched: process group and rank,NA,10,10,1
97486e2f1c2df951,Brazil,2012,COE,matched: process group and rank,NA,18,18,1
977c3d13e69fd1a0,Colombia,2005,COE,matched: process group and rank,NA,33,33,1
9afb42276738b733,Mexico,2022,COE,matched: process group and rank,NA,33,33,1
9b39103db61369e1,El Salvador,2003,COE,matched: process group and rank,NA,31,31,1
9b41db41829ea486,Nicaragua,2004,COE,matched: process group and rank,NA,29,29,1
9c4359f85637f806,Mexico,2015,COE,matched: process group and rank,NA,17,17,1
9f945028bafe640f,Brazil,1999,COE,matched: process group and rank,NA,10,10,1
a17342050c271e78,Guatemala,2008,COE,matched: process group and rank,NA,25,25,1
a2287dd141a2aa33,Brazil,2005,COE,matched: process group and rank,NA,36,36,1
a4ff42ee1c56fcb6,El Salvador,2005,COE,matched: process group and rank,NA,17,17,1
a58384c85569435c,Nicaragua,2012,COE,matched: process group and rank,NA,25,25,1
a66ac5503b74bdc0,Rwanda,2014,COE,matched: process group and rank,NA,28,28,1
a715bdb54ff0d688,Nicaragua,2021,COE,matched: process group and rank,NA,26,26,1
a788c4997f41e4fb,Burundi,2013,COE,matched: process group and rank,NA,14,14,1
a888e8977fcf5201,Guatemala,2024,COE,ambiguous entry rank,NA,3,38,0.07894736842105263
a888e8977fcf5201,Guatemala,2024,COE,matched: process group and rank,NA,31,38,0.8157894736842105
a888e8977fcf5201,Guatemala,2024,COE,matched: unique event rank,NA,4,38,0.10526315789473684
a9c5085d9aa7d8bf,Peru,2019,COE,matched: process group and rank,NA,24,24,1
aaed34d3b88aef8b,Honduras,2009,COE,matched: process group and rank,NA,37,37,1
ab20ca6fa71477c3,Brazil,2003,COE,matched: process group and rank,NA,43,43,1
ad438a1492b82749,Rwanda,2010,COE,matched: process group and rank,NA,22,22,1
ada629ce75da8ae0,El Salvador,2006,COE,matched: process group and rank,NA,23,23,1
ae19c1e1f76a37ad,Guatemala,2001,COE,no competition entry,auction event without competition table,15,15,1
b049d78ce4ab573e,Costa Rica,2023,COE,matched: process group and rank,NA,33,33,1
b0fc9afec2b36341,Guatemala,2025,COE,matched: process group and rank,NA,33,33,1
b2252d20dd28d7dd,Brazil,2015,COE,matched: process group and rank,NA,22,22,1
b26066e3491384bc,Honduras,2007,COE,matched: process group and rank,NA,24,24,1
b762b1a91ef82ae0,Costa Rica,2014,COE,matched: process group and rank,NA,24,24,1
bc5c1e38d691c08b,Burundi,2017,COE,matched: process group and rank,NA,25,25,1
bc5c1e38d691c08b,Burundi,2017,NW,no competition entry,auction program without competition table,8,8,1
bc80a53b61b50b1c,Brazil,2013,COE,matched: process group and rank,NA,32,32,1
becb5d5a8d06e2c4,Guatemala,2006,COE,matched: process group and rank,NA,25,25,1
c00d15b2e8b05812,Honduras,2023,COE,matched: process group and rank,NA,32,32,1
c0bf466579f2d947,Honduras,2021,COE,matched: process group and rank,NA,28,28,1
c1a563a1cea61442,Honduras,2017,COE,matched: process group and rank,NA,27,27,1
c1a563a1cea61442,Honduras,2017,NW,no competition entry,auction program without competition table,12,12,1
c56ff7f8e1e41dd6,Nicaragua,2009,COE,matched: process group and rank,NA,26,26,1
c5947e46efa4a520,Mexico,2023,COE,matched: process group and rank,NA,29,29,1
c5f2e2e30775dfe7,Costa Rica,2009,COE,matched: process group and rank,NA,24,24,1
c70d21b6380ff8fc,Ecuador,2021,COE,matched: process group and rank,NA,25,25,1
c8752ceee8bb53f1,Brazil,2006,COE,matched: process group and rank,NA,28,28,1
c991847a22ff1716,El Salvador,2023,COE,matched: process group and rank,NA,33,33,1
cb99a98e8f70e864,Colombia,2017,COE,matched: process group and rank,NA,36,36,1
cbb6685c1de9606c,Rwanda,2011,COE,matched: process group and rank,NA,36,36,1
cbe3c4b09a54bec0,Bolivia,2005,COE,matched: process group and rank,NA,19,19,1
cbf7cef16e2f2288,Colombia,2006,COE,matched: process group and rank,NA,30,30,1
cc0114c82be5db63,Mexico,2019,COE,matched: process group and rank,NA,31,31,1
ce40b6a6738bbb99,Costa Rica,2019,COE,matched: process group and rank,NA,31,31,1
d097a68f0a5eff0b,Colombia,2012,COE,matched: process group and rank,NA,30,30,1
d144777157aa3439,Costa Rica,2013,COE,matched: process group and rank,NA,22,22,1
d1543b65c7f3dffe,Brazil,2018,COE,matched: process group and rank,NA,35,35,1
