event_id,country,year,event_name,raw_rows,entries,removed,retention_rate
183f05090c9a1140,Costa Rica,2024,Costa Rica 2024,69,31,38,0.4492753623188406
730e5b8120156480,Honduras,2024,Honduras 2024,65,29,36,0.4461538461538462
95f3bb26fec856b9,Nicaragua,2024,Nicaragua 2024,63,30,33,0.47619047619047616
05dea4f9ef49cf00,Colombia,2018,2018,36,27,9,0.75
56f3d93e6d53724a,Brazil,2018,2018,45,37,8,0.8222222222222222
8191f8204aa713fa,Guatemala,2016,2016,25,17,8,0.68
6125b41b95ca5561,Burundi,2018,2018,36,29,7,0.8055555555555556
f1e54b3b5ca863aa,Colombia,2014,2014 South,34,28,6,0.8235294117647058
cb99a98e8f70e864,Colombia,2017,2017,36,30,6,0.8333333333333334
3f6557f6d36b2162,Costa Rica,2018,2018,42,36,6,0.8571428571428571
932be81913d4d6cc,Ecuador,2022,Ecuador 2022,24,18,6,0.75
306cdc3f652cd29f,Nicaragua,2015,2015,36,30,6,0.8333333333333334
bc80a53b61b50b1c,Brazil,2013,2013,32,27,5,0.84375
7ba223eeaf3a9cb7,Brazil,2017,2017,37,32,5,0.8648648648648649
d1543b65c7f3dffe,Brazil,2018,2018,35,30,5,0.8571428571428571
378b15a9f8e37b92,Colombia,2019,2019 North,34,29,5,0.8529411764705882
dec3b623fc3b102d,Costa Rica,2016,2016,26,21,5,0.8076923076923077
ef7f110ca8ad65a5,Honduras,2018,2018,41,36,5,0.8780487804878049
7cd41b217cdcd97e,Mexico,2017,2017,27,22,5,0.8148148148148148
7f40430980f0b5e6,Nicaragua,2018,2018,40,35,5,0.875
f06207128b447b2a,Peru,2017,2017,24,19,5,0.7916666666666666
f57a799e620edb5c,Brazil,2016,2016,23,19,4,0.8260869565217391
38b2d2e3c7e71d0f,Brazil,2017,2017,28,24,4,0.8571428571428571
558daec13f90276f,El Salvador,2014,2014,33,29,4,0.8787878787878788
265090fe20b129cd,El Salvador,2018,2018,42,38,4,0.9047619047619048
8b291231c7145e12,Honduras,2015,2015,38,34,4,0.8947368421052632
db8d673b53d2c07d,Mexico,2018,2018,33,29,4,0.8787878787878788
e27e0f7c702fa71e,Brazil,2015,2015 December,32,29,3,0.90625
58d0dda26a0c47c5,Brazil,2019,2019,30,27,3,0.9
8f910a10a522a6e4,Brazil,2024,Brazil 2024,38,35,3,0.9210526315789473
df2a0030ea37d2c1,Burundi,2015,2015,27,24,3,0.8888888888888888
e3ee4b83024a8fdc,Colombia,2015,2015 North,31,28,3,0.9032258064516129
20a6b645aa948554,Colombia,2023,Colombia 2023,31,28,3,0.9032258064516129
86196d6e98565c85,Costa Rica,2017,2017,32,29,3,0.90625
ce40b6a6738bbb99,Costa Rica,2019,2019,31,28,3,0.9032258064516129
33788018ae7fb5b7,Costa Rica,2021,Costa Rica 2021,33,30,3,0.9090909090909091
deeed450e36aab5d,Costa Rica,2022,Costa Rica 2022,25,22,3,0.88
b049d78ce4ab573e,Costa Rica,2023,Costa Rica 2023,33,30,3,0.9090909090909091
563b2176a64e6691,Costa Rica,2025,Costa Rica 2025,33,30,3,0.9090909090909091
5a4325fd738bec15,Ecuador,2023,Ecuador 2023,19,16,3,0.8421052631578947
f52a7809bb1fd00e,El Salvador,2021,El Salvador 2021,27,24,3,0.8888888888888888
033b9c6652fed90f,El Salvador,2022,El Salvador 2022,30,27,3,0.9
c991847a22ff1716,El Salvador,2023,El Salvador 2023,33,30,3,0.9090909090909091
4f4bfa360131e53c,El Salvador,2025,El Salvador 2025,32,29,3,0.90625
2b2f8fc82c5e8056,Ethiopia,2021,Ethiopia 2021,33,30,3,0.9090909090909091
4f643bafa11775bd,Guatemala,2013,2013,23,20,3,0.8695652173913043
04cf157e5060655a,Guatemala,2018,2018,37,34,3,0.918918918918919
94e0f75eb8b007ec,Guatemala,2019,2019,23,20,3,0.8695652173913043
e027de3eaca1fdbe,Guatemala,2021,Guatemala 2021,31,28,3,0.9032258064516129
8f48007819e94a7e,Guatemala,2022,Guatemala 2022,33,30,3,0.9090909090909091
7271aa2d4ce78a13,Guatemala,2023,Guatemala 2023,31,28,3,0.9032258064516129
b0fc9afec2b36341,Guatemala,2025,Guatemala 2025,38,35,3,0.9210526315789473
2ce1a77eff6cdd28,Honduras,2016,2016,26,23,3,0.8846153846153846
c1a563a1cea61442,Honduras,2017,2017,27,24,3,0.8888888888888888
88ab413a4b17ecde,Honduras,2019,2019,33,30,3,0.9090909090909091
c0bf466579f2d947,Honduras,2021,Honduras 2021,28,25,3,0.8928571428571429
633bbe248a592d8c,Honduras,2025,Honduras 2025,33,30,3,0.9090909090909091
7d2b8caa9301eabc,Indonesia,2023,Indonesia 2023,27,24,3,0.8888888888888888
cc0114c82be5db63,Mexico,2019,2019,31,28,3,0.9032258064516129
8490c0273821d2a1,Mexico,2021,Mexico 2021,33,30,3,0.9090909090909091
9afb42276738b733,Mexico,2022,Mexico 2022,33,30,3,0.9090909090909091
c5947e46efa4a520,Mexico,2023,Mexico 2023,29,26,3,0.896551724137931
2d66f52827193519,Mexico,2024,Mexico 2024,37,34,3,0.918918918918919
e79330b9e90b09dc,Mexico,2025,Mexico 2025,37,34,3,0.918918918918919
eb131b841c2d82a2,Nicaragua,2017,2017,28,25,3,0.8928571428571429
a715bdb54ff0d688,Nicaragua,2021,Nicaragua 2021,26,23,3,0.8846153846153846
a9c5085d9aa7d8bf,Peru,2019,2019,24,21,3,0.875
049e1f574d37b6f7,Peru,2021,Peru 2021,27,24,3,0.8888888888888888
