year,entries,reported,missing,coverage
1999,10,10,0,1
2000,18,18,0,1
2001,18,18,0,1
2002,84,28,56,0.3333333333333333
2003,111,43,68,0.38738738738738737
2004,134,36,98,0.26865671641791045
2005,206,36,170,0.17475728155339806
2006,187,28,159,0.1497326203208556
2007,181,0,181,0
2008,236,23,213,0.09745762711864407
2009,228,26,202,0.11403508771929824
2010,153,0,153,0
2011,251,31,220,0.12350597609561753
2012,248,42,206,0.1693548387096774
2013,200,48,152,0.24
2014,265,42,223,0.15849056603773584
2015,312,71,241,0.22756410256410256
2016,104,43,61,0.41346153846153844
2017,280,56,224,0.2
2018,383,381,2,0.9947780678851175
2019,231,231,0,1
2021,315,315,0,1
2022,317,317,0,1
2023,304,304,0,1
2024,351,351,0,1
2025,315,315,0,1
