event_id,event_name,event_type,country,year,program,entries,reported_process,missing_process,coverage_rate
006d132a118d0da8,2003,COE,Nicaragua,2003,COE,37,0,37,0
033b9c6652fed90f,El Salvador 2022,COE,El Salvador,2022,COE,27,27,0,1
049e1f574d37b6f7,Peru 2021,COE,Peru,2021,COE,24,24,0,1
04cf157e5060655a,2018,COE,Guatemala,2018,COE,34,34,0,1
05dea4f9ef49cf00,2018,COE,Colombia,2018,COE,27,27,0,1
07530078211d9a65,2015,COE,El Salvador,2015,COE,26,0,26,0
07a149006df074a2,2017,COE,Guatemala,2017,COE,28,0,28,0
09d57f1b6eace9c6,2012,COE,Guatemala,2012,COE,23,0,23,0
0c50203e4ea9e6e7,2017,COE,El Salvador,2017,COE,24,0,24,0
101c33c318834c3a,2015 January,COE Natural,Brazil,2015,COE,21,21,0,1
10b05a69b2ee99bc,Thailand 2024,COE,Thailand,2024,COE,27,27,0,1
10b05a69b2ee99bc,Thailand 2024,COE,Thailand,2024,NW,4,4,0,1
1105bfdd52f0c6fb,2011,COE,Costa Rica,2011,COE,31,0,31,0
11b46c35400dc616,2009,COE Pulped Natural,Brazil,2009,COE,26,26,0,1
183f05090c9a1140,Costa Rica 2024,COE,Costa Rica,2024,COE,30,30,0,1
183f05090c9a1140,Costa Rica 2024,COE,Costa Rica,2024,NW,1,1,0,1
1a1cc9a2fd677144,Honduras 2022,COE,Honduras,2022,COE,25,25,0,1
208d8a119b3fcd68,2014,COE Pulped Natural,Brazil,2014,COE,21,21,0,1
20a6b645aa948554,Colombia 2023,COE,Colombia,2023,COE,28,28,0,1
216beb519b06ab27,Peru 2025,COE,Peru,2025,COE,30,30,0,1
216beb519b06ab27,Peru 2025,COE,Peru,2025,NW,3,3,0,1
2275524667da73bd,Taiwan 2025,COE,Taiwan,2025,COE,27,27,0,1
236a55b8dc898b6b,2011,COE,El Salvador,2011,COE,42,0,42,0
265090fe20b129cd,2018,COE,El Salvador,2018,COE,38,38,0,1
27e30bcdac0c444c,Ethiopia 2024,COE,Ethiopia,2024,COE,27,27,0,1
27e30bcdac0c444c,Ethiopia 2024,COE,Ethiopia,2024,NW,13,13,0,1
27f98df4f5c3dba9,2010,COE,El Salvador,2010,COE,30,0,30,0
29ce078048b6ca5a,2016,COE Pulped Natural,Brazil,2016,COE,24,24,0,1
2a8e5a9baaa80905,Thailand 2023,COE,Thailand,2023,COE,16,16,0,1
2b2f8fc82c5e8056,Ethiopia 2021,COE,Ethiopia,2021,COE,30,30,0,1
2ce15a7f40ccc6a3,Taiwan 2024,COE,Taiwan,2024,COE,20,20,0,1
2ce15a7f40ccc6a3,Taiwan 2024,COE,Taiwan,2024,NW,5,5,0,1
2ce1a77eff6cdd28,2016,COE,Honduras,2016,COE,23,0,23,0
2d66f52827193519,Mexico 2024,COE,Mexico,2024,COE,30,30,0,1
2d66f52827193519,Mexico 2024,COE,Mexico,2024,NW,4,4,0,1
30131012ffca0563,2007 North,COE regional,Colombia,2007,COE,30,0,30,0
306cdc3f652cd29f,2015,COE,Nicaragua,2015,COE,30,0,30,0
319d40e9b8e35a24,Nicaragua 2022,COE,Nicaragua,2022,COE,26,26,0,1
3252450a1c4f202d,2018,COE,Rwanda,2018,COE,29,28,1,0.9655172413793104
33788018ae7fb5b7,Costa Rica 2021,COE,Costa Rica,2021,COE,30,30,0,1
344ddab608c8d8c8,2007,COE,Bolivia,2007,COE,26,0,26,0
35258d5d107d50f1,Indonesia 2022,COE,Indonesia,2022,COE,22,22,0,1
35258d5d107d50f1,Indonesia 2022,COE,Indonesia,2022,NW,12,12,0,1
3658e3cf0f8b901b,2010,COE,Guatemala,2010,COE,28,0,28,0
36f7881408411ac3,El Salvador 2024,COE,El Salvador,2024,COE,30,30,0,1
36f7881408411ac3,El Salvador 2024,COE,El Salvador,2024,NW,3,3,0,1
