country,year,base_process,entries,total_entries,share
Brazil,2018,Honey / pulped natural,30,67,0.44776119402985076
Brazil,2018,Natural,37,67,0.5522388059701493
Brazil,2019,Honey / pulped natural,9,27,0.3333333333333333
Brazil,2019,Natural,18,27,0.6666666666666666
Brazil,2021,Honey / pulped natural,13,29,0.4482758620689655
Brazil,2021,Natural,14,29,0.4827586206896552
Brazil,2021,Washed,2,29,0.06896551724137931
Brazil,2022,Honey / pulped natural,8,24,0.3333333333333333
Brazil,2022,Natural,16,24,0.6666666666666666
Brazil,2023,Honey / pulped natural,10,30,0.3333333333333333
Brazil,2023,Natural,11,30,0.36666666666666664
Brazil,2023,Not reported,8,30,0.26666666666666666
Brazil,2023,Washed,1,30,0.03333333333333333
Brazil,2024,Honey / pulped natural,10,27,0.37037037037037035
Brazil,2024,Natural,10,27,0.37037037037037035
Brazil,2024,Not reported,7,27,0.25925925925925924
Brazil,2025,Honey / pulped natural,9,30,0.3
Brazil,2025,Natural,10,30,0.3333333333333333
Brazil,2025,Not reported,10,30,0.3333333333333333
Brazil,2025,Washed,1,30,0.03333333333333333
Burundi,2018,Washed,29,29,1
Burundi,2019,Natural,2,23,0.08695652173913043
Burundi,2019,Washed,21,23,0.9130434782608695
Colombia,2018,Honey / pulped natural,3,27,0.1111111111111111
Colombia,2018,Not reported,1,27,0.037037037037037035
Colombia,2018,Washed,23,27,0.8518518518518519
Colombia,2019,Honey / pulped natural,3,29,0.10344827586206896
Colombia,2019,Natural,4,29,0.13793103448275862
Colombia,2019,Washed,22,29,0.7586206896551724
Colombia,2021,Honey / pulped natural,3,23,0.13043478260869565
Colombia,2021,Natural,6,23,0.2608695652173913
Colombia,2021,Washed,14,23,0.6086956521739131
Colombia,2022,Honey / pulped natural,2,22,0.09090909090909091
Colombia,2022,Natural,4,22,0.18181818181818182
Colombia,2022,Washed,16,22,0.7272727272727273
Colombia,2023,Honey / pulped natural,7,28,0.25
Colombia,2023,Natural,3,28,0.10714285714285714
Colombia,2023,Washed,18,28,0.6428571428571429
Costa Rica,2018,Honey / pulped natural,18,36,0.5
Costa Rica,2018,Natural,10,36,0.2777777777777778
Costa Rica,2018,Not reported,1,36,0.027777777777777776
Costa Rica,2018,Washed,7,36,0.19444444444444445
Costa Rica,2019,Honey / pulped natural,15,28,0.5357142857142857
Costa Rica,2019,Natural,7,28,0.25
Costa Rica,2019,Not reported,3,28,0.10714285714285714
Costa Rica,2019,Washed,3,28,0.10714285714285714
Costa Rica,2021,Honey / pulped natural,12,30,0.4
Costa Rica,2021,Natural,7,30,0.23333333333333334
Costa Rica,2021,Not reported,5,30,0.16666666666666666
Costa Rica,2021,Washed,6,30,0.2
Costa Rica,2022,Honey / pulped natural,8,22,0.36363636363636365
Costa Rica,2022,Natural,4,22,0.18181818181818182
Costa Rica,2022,Not reported,5,22,0.22727272727272727
