country,year,entries,experimental_entries,experimental_share,experimental_technologies,new_experimental_technologies,reproduced_experimental_entries
Brazil,2018,67,0,0,0,0,0
Brazil,2019,27,2,0.07407407407407407,1,1,0
Brazil,2021,29,0,0,0,0,0
Brazil,2022,24,0,0,0,0,0
Brazil,2023,30,10,0.3333333333333333,6,6,0
Brazil,2024,27,7,0.25925925925925924,2,0,7
Brazil,2025,30,10,0.3333333333333333,1,0,10
Burundi,2018,29,0,0,0,0,0
Burundi,2019,23,0,0,0,0,0
Colombia,2018,27,1,0.037037037037037035,1,0,0
Colombia,2019,29,2,0.06896551724137931,2,2,0
Colombia,2021,23,4,0.17391304347826086,3,1,2
Colombia,2022,22,3,0.13636363636363635,1,0,3
Colombia,2023,28,6,0.21428571428571427,3,0,6
Costa Rica,2018,36,2,0.05555555555555555,2,0,0
Costa Rica,2019,28,3,0.10714285714285714,1,0,3
Costa Rica,2021,30,5,0.16666666666666666,1,0,5
Costa Rica,2022,22,5,0.22727272727272727,1,0,5
Costa Rica,2023,30,6,0.2,1,0,6
Costa Rica,2024,30,6,0.2,1,1,0
Costa Rica,2025,20,0,0,0,0,0
Ecuador,2021,23,2,0.08695652173913043,1,1,0
Ecuador,2022,18,8,0.4444444444444444,2,2,0
Ecuador,2023,16,8,0.5,3,1,7
El Salvador,2018,38,0,0,0,0,0
El Salvador,2019,25,1,0.04,1,1,0
El Salvador,2021,24,2,0.08333333333333333,2,1,1
El Salvador,2022,27,3,0.1111111111111111,1,0,3
El Salvador,2023,30,12,0.4,3,2,8
El Salvador,2024,30,12,0.4,4,1,10
El Salvador,2025,29,9,0.3103448275862069,3,0,9
Ethiopia,2021,30,6,0.2,2,2,0
Ethiopia,2022,30,3,0.1,1,0,3
Ethiopia,2024,27,0,0,0,0,0
Guatemala,2018,34,0,0,0,0,0
Guatemala,2019,20,0,0,0,0,0
Guatemala,2021,28,4,0.14285714285714285,1,1,0
Guatemala,2022,30,0,0,0,0,0
Guatemala,2023,28,0,0,0,0,0
Guatemala,2024,28,0,0,0,0,0
Guatemala,2025,30,0,0,0,0,0
Honduras,2018,36,0,0,0,0,0
Honduras,2019,30,1,0.03333333333333333,1,1,0
Honduras,2021,25,0,0,0,0,0
Honduras,2022,25,0,0,0,0,0
Honduras,2023,30,0,0,0,0,0
Honduras,2024,29,0,0,0,0,0
Honduras,2025,30,0,0,0,0,0
Indonesia,2021,26,0,0,0,0,0
Indonesia,2022,22,7,0.3181818181818182,3,3,0
Indonesia,2023,22,4,0.18181818181818182,4,4,0
Mexico,2018,28,0,0,0,0,0
Mexico,2019,28,1,0.03571428571428571,1,1,0
Mexico,2021,30,0,0,0,0,0
Mexico,2022,30,0,0,0,0,0
Mexico,2023,26,0,0,0,0,0
Mexico,2024,30,10,0.3333333333333333,3,3,0
Mexico,2025,30,9,0.3,1,1,0
Nicaragua,2018,35,0,0,0,0,0
Nicaragua,2021,23,1,0.043478260869565216,1,1,0
Nicaragua,2022,26,0,0,0,0,0
Nicaragua,2023,16,0,0,0,0,0
Nicaragua,2024,30,0,0,0,0,0
Nicaragua,2025,30,0,0,0,0,0
Peru,2018,23,0,0,0,0,0
Peru,2019,21,0,0,0,0,0
Peru,2021,24,0,0,0,0,0
Peru,2022,29,0,0,0,0,0
Peru,2023,30,2,0.06666666666666667,1,1,0
Peru,2024,25,0,0,0,0,0
Peru,2025,30,0,0,0,0,0
Rwanda,2018,28,0,0,0,0,0
Taiwan,2024,20,0,0,0,0,0
Taiwan,2025,27,0,0,0,0,0
Thailand,2023,16,1,0.0625,1,1,0
Thailand,2024,27,0,0,0,0,0
Thailand,2025,21,2,0.09523809523809523,2,2,0
