event_id,event_name,event_type,country,year,program,process_group,rank,score,farm,producer,process,variety,region,source_url,swap_process_variety,process_label_status,process_family,base_process,innovation_class,experimental_method,process_classification_source,rank_key,entry_rank,farm_key,producer_key,entry_key,experimental_technology,first_observed_year_country,last_observed_year_country,left_censored_at_baseline,appearance_after_baseline,observed_again_later,first_observed_experimental_entry,reproduced_experimental_entry
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,1a,93.26,Fazenda Paraíso,Maria do Carmo Andrade – Andrade Bros,Natural,Catuaí Vermelho,Cerrado Mineiro,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,1A,1,fazenda paraiso,maria do carmo andrade andrade bros,56f3d93e6d53724a|COE|NA|1,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,1a,93.89,Fazenda Primavera,Primavera Agronegócios LTDA,Pulped Natural,Gesha,Chapada de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,1A,1,fazenda primavera,primavera agronegocios ltda,d1543b65c7f3dffe|COE|NA|1,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,10,89.41,Nossa Senhora Aparecida,Roney Dias Villela,Natural,Bourbon Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,10,10,nossa senhora aparecida,roney dias villela,56f3d93e6d53724a|COE|NA|10,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,10,88.14,Sítio Cruz,Ismael Oliveira Cruz,Pulped Natural,Catuaí 144,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,10,10,sitio cruz,ismael oliveira cruz,d1543b65c7f3dffe|COE|NA|10,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,11,89.38,Sitio Nossa Senhora Aparecida,Marlise Pereira Junqueira,Natural,Bourbon Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,11,11,sitio nossa senhora aparecida,marlise pereira junqueira,56f3d93e6d53724a|COE|NA|11,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,11,88.14,Fazenda Ouro Verde,Cândido Vladimir Ladeia Rosa,Pulped Natural,Catuaí 144,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,11,11,fazenda ouro verde,candido vladimir ladeia rosa,d1543b65c7f3dffe|COE|NA|11,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,12,89.26,Fazenda Espigão do Palmital,Edu Leandro Melo,Natural,CatiguáMG2,Cerrado Mineiro,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,12,12,fazenda espigao do palmital,edu leandro melo,56f3d93e6d53724a|COE|NA|12,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,12,88.03,Fazenda Santa Bárbara,Eulino José Novais,Pulped Natural,Catuaí 144,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,12,12,fazenda santa barbara,eulino jose novais,d1543b65c7f3dffe|COE|NA|12,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,13,89.26,Fazenda Santa Rita – Central Mattos,Filomena Estefânia de Mattos Couto,Natural,Topázio Amarelo,Cerrado Mineiro,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,13,13,fazenda santa rita central mattos,filomena estefania de mattos couto,56f3d93e6d53724a|COE|NA|13,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,13,88.03,Sítio Grota São Pedro,Cláudio Carneiro Pinto,Pulped Natural,Bourbon Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,13,13,sitio grota sao pedro,claudio carneiro pinto,d1543b65c7f3dffe|COE|NA|13,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,14,89.03,Sitio Grota Fria,Ademilson Noiman Borges,Natural,Mundo Novo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,14,14,sitio grota fria,ademilson noiman borges,56f3d93e6d53724a|COE|NA|14,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,14,87.97,Fazenda Volta da Serra,Agnaldo Martins Assunção,Pulped Natural,Catuaí,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,14,14,fazenda volta da serra,agnaldo martins assuncao,d1543b65c7f3dffe|COE|NA|14,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,15,88.91,Fazenda Alto da Serra,Valdeci Domingos Nascimento,Natural,Catuaí Amarelo,Sul de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,15,15,fazenda alto da serra,valdeci domingos nascimento,56f3d93e6d53724a|COE|NA|15,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,15,87.97,Fazenda Rio Verde,Ipanema Agrícola S/A,Pulped Natural,Catuaí Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,15,15,fazenda rio verde,ipanema agricola s a,d1543b65c7f3dffe|COE|NA|15,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,16,88.85,Fazenda Pedra Preta,Antônio Fortes Bustamante,Natural,Bourbon Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,16,16,fazenda pedra preta,antonio fortes bustamante,56f3d93e6d53724a|COE|NA|16,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,16,87.94,Fazenda Boa Vista,Lívio César Carvalho Ferraz,Pulped Natural,Acaiá,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,16,16,fazenda boa vista,livio cesar carvalho ferraz,d1543b65c7f3dffe|COE|NA|16,NA,NA,NA,NA,NA,NA,FALSE,FALSE
