event_id,event_name,event_type,country,year,program,process_group,rank,score,farm,producer,process,variety,region,source_url,swap_process_variety,process_family,process_classification_source,rank_key,entry_rank,farm_key,producer_key,entry_key,lot_key,auction_rank,final_bid_usd_lb,weight_lb,total_value_usd,buyer,price_reported,weight_reported,buyer_reported,value_reported,calculated_value_usd,relative_value_difference,value_identity_status,match_status,unmatched_reason,eligible_matched_price_sample,process_label_status,base_process,innovation_class,experimental_method,experimental_technology,first_observed_year_country,last_observed_year_country,left_censored_at_baseline,appearance_after_baseline,first_observed_experimental_entry,reproduced_experimental_entry
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,1a,93.26,Fazenda Paraíso,Maria do Carmo Andrade – Andrade Bros,Natural,Catuaí Vermelho,Cerrado Mineiro,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,1A,1,fazenda paraiso,maria do carmo andrade andrade bros,56f3d93e6d53724a|COE|NA|1,56f3d93e6d53724a|COE|NA|1A,1A,80.1,NA,31786.08,CTS Coffee Trading Stehl GmbH,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,1a,93.89,Fazenda Primavera,Primavera Agronegócios LTDA,Pulped Natural,Gesha,Chapada de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,1A,1,fazenda primavera,primavera agronegocios ltda,d1543b65c7f3dffe|COE|NA|1,d1543b65c7f3dffe|COE|NA|1A,1A,143,NA,47288.67,Ally Coffee,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,1a,93.26,Fazenda Paraíso,Maria do Carmo Andrade – Andrade Bros,Natural,Catuaí Vermelho,Cerrado Mineiro,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,1A,1,fazenda paraiso,maria do carmo andrade andrade bros,56f3d93e6d53724a|COE|NA|1,56f3d93e6d53724a|COE|NA|1B,1B,51,NA,20238.33,"Maruyama Coffee, Sarutahiko Coffee, DABOV Specialty Coffee, GoodBoyBob Coffee",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,1a,93.89,Fazenda Primavera,Primavera Agronegócios LTDA,Pulped Natural,Gesha,Chapada de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,1A,1,fazenda primavera,primavera agronegocios ltda,d1543b65c7f3dffe|COE|NA|1,d1543b65c7f3dffe|COE|NA|1B,1B,120.1,NA,39715.87,"Maruyama Coffee, Saza Coffee, Sarutahiko Coffee",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,10,89.41,Nossa Senhora Aparecida,Roney Dias Villela,Natural,Bourbon Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,10,10,nossa senhora aparecida,roney dias villela,56f3d93e6d53724a|COE|NA|10,56f3d93e6d53724a|COE|NA|10,10,10.5,NA,20833.68,Terarosa (Haksan Co.Ltd),TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,10,88.14,Sítio Cruz,Ismael Oliveira Cruz,Pulped Natural,Catuaí 144,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,10,10,sitio cruz,ismael oliveira cruz,d1543b65c7f3dffe|COE|NA|10,d1543b65c7f3dffe|COE|NA|10,10,6.1,NA,4841.33,Honu Kato Coffee Inc.,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,11,89.38,Sitio Nossa Senhora Aparecida,Marlise Pereira Junqueira,Natural,Bourbon Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,11,11,sitio nossa senhora aparecida,marlise pereira junqueira,56f3d93e6d53724a|COE|NA|11,56f3d93e6d53724a|COE|NA|11,11,5.5,NA,8730.32,Honu Kato Coffee Inc.,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,11,88.14,Fazenda Ouro Verde,Cândido Vladimir Ladeia Rosa,Pulped Natural,Catuaí 144,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,11,11,fazenda ouro verde,candido vladimir ladeia rosa,d1543b65c7f3dffe|COE|NA|11,d1543b65c7f3dffe|COE|NA|11,11,6.1,NA,10489.62,"Wataru & Co.,Ltd.",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,12,89.26,Fazenda Espigão do Palmital,Edu Leandro Melo,Natural,CatiguáMG2,Cerrado Mineiro,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,12,12,fazenda espigao do palmital,edu leandro melo,56f3d93e6d53724a|COE|NA|12,56f3d93e6d53724a|COE|NA|12,12,5.6,NA,4444.5,"GSC International Co., Ltd.",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,12,88.03,Fazenda Santa Bárbara,Eulino José Novais,Pulped Natural,Catuaí 144,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,12,12,fazenda santa barbara,eulino jose novais,d1543b65c7f3dffe|COE|NA|12,d1543b65c7f3dffe|COE|NA|12,12,5.6,NA,5926.03,"GSC International Co., Ltd.",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
