process_family,process_raw,n
Washed,Washed,808
Natural,Natural,592
Honey / pulped natural,Honey,241
Washed,WASHED,80
Honey / pulped natural,Pulped Natural,72
Natural,NATURAL,38
Natural,Dry/Natural,33
Experimental,Anaerobic,27
Washed,Lavado,22
Experimental,Experimental,20
Honey / pulped natural,HONEY,16
Experimental,Natural Anaerobic,11
Experimental,Washed Anaerobic,11
Experimental,Pending,10
Experimental,Natural Anaerobico,9
Experimental,NATURAL ANAEROBICO,8
Experimental,ANAEROBIC WASHED,7
Experimental,Anaerobic Natural,7
Honey / pulped natural,Semi-Washed,7
Experimental,Fermentation,6
Experimental,Anaerobic fermentation,5
Experimental,Anaeróbico,5
Experimental,Lavado / Anaerobico,5
Experimental,Washed,5
Experimental,Anaerobic Washed,4
Experimental,Natural,4
Experimental,Natural / Anaerobico,4
Experimental,ANAEROBIC WASH,3
Experimental,WASHED ANAEROBICO,3
Honey / pulped natural,Pulped,3
Natural,Dry Hulled,3
Washed,Wet Hulled,3
Experimental,Anaerobic Fermentation,2
Experimental,Fermented,2
Experimental,Honey Anaerobic,2
Experimental,Macro-aerobic fermentation,2
Experimental,Natural / Maceracion Carbonica,2
Experimental,Washed Anaerobico,2
Honey / pulped natural,Demucilaged,2
Honey / pulped natural,Semi lavado,2
Washed,Wet Hull,2
Experimental,ANAEROBIC MC WASHED,1
Experimental,Aerobic Fermentation,1
Experimental,Anaerobic Honey,1
Experimental,Anaerobic NP,1
Experimental,Carbonic Maceration Honey,1
Experimental,Carbonic Maceration Natural,1
Experimental,Double Anaerobic,1
Experimental,Fermented Honey,1
Experimental,Fermented Honey process,1
Experimental,Fermented Natural,1
Experimental,Fermented Natural Process,1
Experimental,HONEY ANAEROBICO,1
Experimental,Honey,1
Experimental,Honey / Anaerobico,1
Experimental,Honey Anaerobico,1
Experimental,Honey double fermentation,1
Experimental,Honey – Anaerobic,1
Experimental,NATURAL ANAEROBIC,1
Experimental,Natural Double Fermentation,1
Experimental,Natural – Carbonic Maceration,1
Experimental,Pedro Bras Top,1
Experimental,Washed – Anaerobic,1
Honey / pulped natural,Black Honey,1
Honey / pulped natural,Depulped,1
Honey / pulped natural,Despolpado,1
Honey / pulped natural,Honey (Semi- Washed),1
Honey / pulped natural,Honey Caramella,1
Honey / pulped natural,Natural Honey,1
Honey / pulped natural,SEMI-WASHED,1
Natural,Lactic Natural,1
Natural,Mossto Natural,1
Washed,Fully Washed,1
Washed,SEMIL – WASHED,1
Washed,SemiWashed,1
