process_group,process,process_label_status,process_classification_source,process_family,base_process,innovation_class,experimental_method,entries
NA,Washed,reported,reported process,Washed,Washed,Conventional,NA,691
NA,Natural,reported,reported process,Natural,Natural,Conventional,NA,465
NA,Honey,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,183
NA,WASHED,reported,reported process,Washed,Washed,Conventional,NA,80
NA,Pulped Natural,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,59
Natural,Natural,reported,reported process,Natural,Natural,Conventional,NA,42
NA,NATURAL,reported,reported process,Natural,Natural,Conventional,NA,38
Traditional Washed Processes,Washed,reported,reported process,Washed,Washed,Conventional,NA,38
NA,Dry/Natural,reported,reported process,Natural,Natural,Conventional,NA,33
NA,Anaerobic,reported,reported process,Experimental,Not reported,Experimental,Anaerobic,26
Exotic Washed,Washed,reported,reported process,Washed,Washed,Conventional,NA,25
Traditional Honey & Natural Processes,Honey,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,23
Traditional Honey & Natural Processes,Natural,reported,reported process,Natural,Natural,Conventional,NA,21
Experimental,Experimental,reported,reported process,Experimental,Not reported,Experimental,Experimental unspecified,20
NA,Lavado,reported,reported process,Washed,Washed,Conventional,NA,19
Washed + Honey,Honey,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,17
NA,HONEY,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,16
Washed Processes,Washed,reported,reported process,Washed,Washed,Conventional,NA,15
Exotic Natural & Honey,Natural,reported,reported process,Natural,Natural,Conventional,NA,14
Natural & Honey,Natural,reported,reported process,Natural,Natural,Conventional,NA,14
Ready to Bid on Taiwan's Best Coffees?,Natural,reported,reported process,Natural,Natural,Conventional,NA,14
NA,Natural Anaerobic,reported,reported process,Experimental,Natural,Experimental,Anaerobic,11
NA,Washed Anaerobic,reported,reported process,Experimental,Washed,Experimental,Anaerobic,11
Dry,Natural,reported,reported process,Natural,Natural,Conventional,NA,10
Exotic Varieties,Washed,reported,reported process,Washed,Washed,Conventional,NA,10
