country,year,rank,farm,process_group,process,variety,process_family,source_url
Brazil,2018,1a,Fazenda Paraíso,NA,Natural,Catuaí Vermelho,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,2a,Fazenda São Pedro,NA,Natural,Catucaí Amarelo,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,3a,Chácara São Severino,NA,Natural,Catuaí 144,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,4a,Chácara Vista Alegre,NA,Natural,Catuaí 144,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,5a,Fazenda Campo Alegre,NA,Natural,Catucaí,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,6a,Sítio da Torre,NA,Natural,Bourbon Amarelo,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,7a,Fortaleza,NA,Natural,Catuaí Vermelho 99,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,8a,Fazenda Fortaleza,NA,Natural,Bourbon Amarelo,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,9,Fazenda Bela Época,NA,Natural,Catucaí Amarelo 2SL,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,10,Nossa Senhora Aparecida,NA,Natural,Bourbon Amarelo,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,11,Sitio Nossa Senhora Aparecida,NA,Natural,Bourbon Amarelo,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,12,Fazenda Espigão do Palmital,NA,Natural,CatiguáMG2,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,13,Fazenda Santa Rita – Central Mattos,NA,Natural,Topázio Amarelo,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,14,Sitio Grota Fria,NA,Natural,Mundo Novo,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,15,Fazenda Alto da Serra,NA,Natural,Catuaí Amarelo,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,16,Fazenda Pedra Preta,NA,Natural,Bourbon Amarelo,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,17,Fazenda Barinas,NA,Natural,Bourbon Amarelo,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,18,Fazenda Cachoeira da Grama,NA,Natural,Bourbon,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,19,Sitio do Bone,NA,Natural,catuaí,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,20,Sítio Mandioca,NA,Natural,Catuaí Vermelho,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
Brazil,2018,21,Fazenda Claudio,NA,Natural,Catuai Amarelo 62,Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/
