country,year,program,stage,process_group,source_url,source_table_id,rank,size,farm_cws,farmer_representative,region,score,download_status,download_error,lot_number,lot_size,high_bid,total_value,high_bidder_s,producer,variety,process,weight_kg,farm,farmer,process_variety,weight_lbs,company_name,farm_name,bid_lb,winner,buyer_s_location,altitude_masl,ranking,price_per_lb,total_price,origin,buyer,na,na_2,na_3,na_4,na_5,na_6,na_7,na_8,na_9,na_10,na_11,na_12,na_13,na_14,na_15,weight_lb,final_bid_lb,processing,lot_no,coffee_washing_station_name,coffee_washing_station_owner,variety_processing,boxes,weight,bid,high_bidder,owner,size_30kg_boxes,hight_bid,high_bid_lb,business_name,farmer_name,farmer_organization,zone,woreda,lot_lbs,size_lbs,weights_kg,altitude_m,estimated_weight_kg,proceso,variedad,winners,weigth_kg,lot,lb,size_69kg_bags,origin_of_buyer,wight_lb,farmer_representetive,farmer_en,farm_en
Brazil,2017,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-naturals-2017/,5,33,0,SÍTIO SERRA DA VERA 2017,JOÃO CARLOS JUNQUEIRA NOGUEIRA,"CARMO DE MINAS, MANTIQUEIRA DE MINAS",85.63,success,NA,33,0,-/lb,–,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2017,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-naturals-2017/,5,34,41,FAZENDA PARAÍSO 2017,MARIA DO CARMO DE ANDRADE,"CARMO DO PARANAÍBA, CERRADO MINEIRO",85.18,success,NA,34,41,$4.00/lb,"$3,615.56","Wataru & Co., Ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2017,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-naturals-2017/,5,35,35,FAZENDA BARINAS 2017 {RA},MÁRCIO BORGES CASTRO ALVES,"ARAXÁ , CERRADO MINEIRO",85.06,success,NA,35,35,$4.00/lb,"$3,086.48","Cafe DAZAC, Eungubi Roasters, Crema Costa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2017,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-naturals-2017/,5,36,35,FAZENDA DOIS IRMÃOS CAFÉS…,EVANDRO SANCHEZ,"COROMANDEL, CERRADO MINEIRO",84.83,success,NA,36,35,$3.55/lb,"$2,739.25",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2017,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-naturals-2017/,5,37,42,SÍTIO SERRA DA CARETA 2017,SAMUEL MANGIA,"BAEPENDI, MANTIQUEIRA DE MINAS",84.57,success,NA,37,42,$3.50/lb,"$3,240.79",LaB Coffee & Academy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2017,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2017/,2,26,89,FAZENDA RAINHA 2017,FAZENDA RAINHA,"SÃO SEBASTIÃO DA GRAMA , MÉDIA MOGIANA",85.67,success,NA,26,89,$4.00/lb,"$7,848.44","Cafe DAZAC, Eungubi Roasters, Crema Costa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2017,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2017/,2,27,0,SÍTIO VELHO 2017,HERBERT DE CASTRO JUNQUEIRA,"JESUÂNIA, MANTIQUEIRA DE MINAS",85.50,success,NA,27,0,-/lb,–,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2017,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2017/,2,28,35,SÍTIO SÃO LUIZ 2017,VALDEIR LUIZ DE SOUZA,"TOMAZINA , NORTE PIONEIRO DO PARANÁ",85.03,success,NA,28,35,$3.70/lb,"$2,854.99",Wataru & Co.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2017,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2017/,2,29,35,FAZENDA BOM FIM 2017,LUCIANO DUTRA PIMENTA,"AFONSO CLÁUDIO, MONTANHAS DO ESPÍRITO SANTO",84.93,success,NA,29,35,$3.70/lb,"$2,854.99",Coffee Meikan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2017,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2017/,2,30,78,FAZENDA TIJUCO 2017,ANTÔNIO RIGNO DE OLIVEIRA FILHO,"PIATÃ, CHAPADA DIAMANTINA",84.67,success,NA,30,78,$3.50/lb,"$6,018.60","Cafe DAZAC, Eungubi Roasters, Crema Costa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
