country,year,program,stage,process_group,source_url,source_table_id,rank,farm,score,weight_lbs,high_bid,total_value,company_name,high_bidder_s,download_status,download_error,farmer_organization,weight_kg,farmer,region,variety,process,zone,woreda,farm_name,bid_lb,winner,buyer_s_location,lot,lb,altitude_masl,ranking,price_per_lb,total_price,origin,buyer,na,na_2,na_3,na_4,na_5,na_6,na_7,na_8,na_9,na_10,na_11,na_12,na_13,na_14,na_15,weight_lb,hight_bid,high_bid_lb,farmer_name,estimated_weight_kg,proceso,variedad,winners,origin_of_buyer,farm_cws,farmer_representative,final_bid_lb,weights_kg,altitude_m,weigth_kg,farmer_representetive,weight,bid,business_name,wight_lb,farmer_en,farm_en
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,1a,Sítio Escondica,90.03,396.83,$40.00,"$15,873.20",Luce Coffee Roasters,NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,1b,Sítio Escondica,90.03,330.69,$38.90,"$12,863.84","Proud Mary Coffee Roasters. Timesclub, and Supremo Coffee",NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,2,Sítio Boa Vista,89.71,1455.05,$12.90,"$18,770.15","Cafe Sinbi’s LOVE,
BOKKUM COFFEE ROASTERS
& GIL-COFFEE",NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,3,Fazenda Monte Alto,88.94,1124.36,$14.60,"$16,415.66",Latorre & Dutch Coffee (China) for Taster’s Coffee / Small Arms Big Heart / Nopparoot Kitcharoen / 白鲸咖啡豆子店 / Gozo Cafe / KOLAKOLA COFFEE / Fisher Coffee,NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,4,Sítio Floresta,88.94,727.53,$20.50,"$14,914.37",Kyokuto Fadie Corporation,NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,5,Chácara Vista Alegre,88.88,727.53,$27.80,"$20,225.33",Blue Bottle Coffee,NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,6,Sítio Monjolinho,88.88,661.39,$17.30,"$11,442.05","Tashiro Coffee Co., Ltd",NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,7,Fazenda Paixão,88.88,661.39,$15.10,"$9,986.99",ECOM Japan Limited for NOZY COFFEE,NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,8,Sítio Braga,88.85,727.53,$12.20,"$8,875.87","Wataru & Co., Ltd.",NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,9,Fazenda Pedra Preta,88.76,661.39,$13.15,"$8,697.28",Japan Roasters’ Network,NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,10,Sítio Triunfo,88.56,661.39,$12.00,"$7,936.68","Wataru & Co., Ltd.",NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,11,Sítio dos Coli,88.44,925.94,$10.30,"$9,537.18","Wataru & Co., Ltd.",NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,12,Fazenda Sertãozinho,88.44,793.66,$13.05,"$10,357.26",ECOM Japan Limited for NOZY COFFEE,NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,13,Sítio Sr. Niquinho,88.44,661.39,$26.10,"$17,262.28",Mandrake & Saza Coffee,NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,14,Fazenda Paraíso,88.38,661.39,$11.95,"$7,903.61","Orsir Coffee Co., Ltd.",NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,15,Sítio São Judas Tadeu,88.32,1190.5,$10.05,"$11,964.53",Kaffebrenneriet As,NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,16,Fazenda Serra do Boné,88.24,1455.05,$12.90,"$18,770.15",Kyokuto Fadie Corporation,NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,17,Fazenda Santa Izabel,88.15,727.53,$12.00,"$8,730.36","TOA COFFEE Co., Ltd.",NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,18,Sítio Sertãozinho,88.15,793.66,$11.00,"$8,730.26","Wataru & Co., Ltd.",NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,19,Rancho do Mirante,88.12,661.39,$11.30,"$7,473.71",ROAST Coffee,NA,success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
