date,year,month,series,value,unit,market_scope,source_url
1999-01-01,1999,1,Cocoa — World Bank,1.46,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-02-01,1999,2,Cocoa — World Bank,1.41,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-03-01,1999,3,Cocoa — World Bank,1.31,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-04-01,1999,4,Cocoa — World Bank,1.18,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-05-01,1999,5,Cocoa — World Bank,1.07,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-06-01,1999,6,Cocoa — World Bank,1.16,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-07-01,1999,7,Cocoa — World Bank,1.11,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-08-01,1999,8,Cocoa — World Bank,1,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-09-01,1999,9,Cocoa — World Bank,1.06,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-10-01,1999,10,Cocoa — World Bank,1.02,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-11-01,1999,11,Cocoa — World Bank,0.92,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-12-01,1999,12,Cocoa — World Bank,0.92,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-01-01,2000,1,Cocoa — World Bank,0.92,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-02-01,2000,2,Cocoa — World Bank,0.86,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-03-01,2000,3,Cocoa — World Bank,0.93,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-04-01,2000,4,Cocoa — World Bank,0.91,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-05-01,2000,5,Cocoa — World Bank,0.92,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-06-01,2000,6,Cocoa — World Bank,0.95,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-07-01,2000,7,Cocoa — World Bank,0.97,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-08-01,2000,8,Cocoa — World Bank,0.89,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-09-01,2000,9,Cocoa — World Bank,0.88,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-10-01,2000,10,Cocoa — World Bank,0.88,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-11-01,2000,11,Cocoa — World Bank,0.88,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-12-01,2000,12,Cocoa — World Bank,0.89,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-01-01,2001,1,Cocoa — World Bank,1,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-02-01,2001,2,Cocoa — World Bank,0.89,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-03-01,2001,3,Cocoa — World Bank,1.12,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-04-01,2001,4,Cocoa — World Bank,1.08,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-05-01,2001,5,Cocoa — World Bank,1.08,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-06-01,2001,6,Cocoa — World Bank,0.97,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-07-01,2001,7,Cocoa — World Bank,0.97,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-08-01,2001,8,Cocoa — World Bank,1.03,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-09-01,2001,9,Cocoa — World Bank,1.02,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-10-01,2001,10,Cocoa — World Bank,1.08,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-11-01,2001,11,Cocoa — World Bank,1.23,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-12-01,2001,12,Cocoa — World Bank,1.34,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2002-01-01,2002,1,Cocoa — World Bank,1.39,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2002-02-01,2002,2,Cocoa — World Bank,1.49,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2002-03-01,2002,3,Cocoa — World Bank,1.59,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2002-04-01,2002,4,Cocoa — World Bank,1.57,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2002-05-01,2002,5,Cocoa — World Bank,1.6,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2002-06-01,2002,6,Cocoa — World Bank,1.66,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2002-07-01,2002,7,Cocoa — World Bank,1.87,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2002-08-01,2002,8,Cocoa — World Bank,1.96,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2002-09-01,2002,9,Cocoa — World Bank,2.16,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
