country,year,program,process_group,rank,score,farm,producer,process,variety,region,source_url,swap_process_variety,process_family,rank_key,entry_rank,farm_key,producer_key,entry_key
Bolivia,2004,Not classified,NA,1,90.44,CENAPROC,CENAPROC (82 farmer lot),NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,1,1,cenaproc,cenaproc 82 farmer lot,Bolivia|2004|Not classified|NA|1
Bolivia,2004,Not classified,NA,2,90.06,CENAPROC,Pedro Patana,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,2,2,cenaproc,pedro patana,Bolivia|2004|Not classified|NA|2
Bolivia,2004,Not classified,NA,3,89.75,CENAPROC,"Productores Luis Huayhua, Silberio Cereso, Félix Castro",NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,3,3,cenaproc,productores luis huayhua silberio cereso felix castro,Bolivia|2004|Not classified|NA|3
Bolivia,2004,Not classified,NA,4,89.22,Cooperativa UNION PROAGRO,Eusebio Marca Cruz,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,4,4,cooperativa union proagro,eusebio marca cruz,Bolivia|2004|Not classified|NA|4
Bolivia,2004,Not classified,NA,5,88.28,CENAPROC,"Bernardo Apaza, Lorenzo Choque",NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,5,5,cenaproc,bernardo apaza lorenzo choque,Bolivia|2004|Not classified|NA|5
Bolivia,2004,Not classified,NA,6,88.25,AGRICABV Caranavi,"Eugenio Nina, Wilfredo Condori",NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,6,6,agricabv caranavi,eugenio nina wilfredo condori,Bolivia|2004|Not classified|NA|6
Bolivia,2004,Not classified,NA,7,88.14,Cooperativa UNION PROAGRO,Andrea Hilari Condori,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,7,7,cooperativa union proagro,andrea hilari condori,Bolivia|2004|Not classified|NA|7
Bolivia,2004,Not classified,NA,8,88.03,Cooperativa CIANA,Yolanda Lourdes Condori Chura,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,8,8,cooperativa ciana,yolanda lourdes condori chura,Bolivia|2004|Not classified|NA|8
Bolivia,2004,Not classified,NA,9,87.67,Valentin Choquehuanca,Valentin Choquehuanca,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,9,9,valentin choquehuanca,valentin choquehuanca,Bolivia|2004|Not classified|NA|9
Bolivia,2004,Not classified,NA,10,85.56,AGRICABV CARANAVI,"Policarpio Tarqui, Jacinto Quispe",NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,10,10,agricabv caranavi,policarpio tarqui jacinto quispe,Bolivia|2004|Not classified|NA|10
Bolivia,2004,Not classified,NA,11,84.58,Cooperativa CIANA,Cooperativa CIANA (22 farmer lot),NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,11,11,cooperativa ciana,cooperativa ciana 22 farmer lot,Bolivia|2004|Not classified|NA|11
Bolivia,2004,Not classified,NA,12,84,Anditrade,"Gumercindo Quispe, Rumualdo Álvarez",NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,12,12,anditrade,gumercindo quispe rumualdo alvarez,Bolivia|2004|Not classified|NA|12
Bolivia,2004,Not classified,NA,13,84,Daniel Colque Villca,Daniel Colque Villca,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,13,13,daniel colque villca,daniel colque villca,Bolivia|2004|Not classified|NA|13
Bolivia,2005,Not classified,NA,1,93.52,Agricabv BV Calama Marka,Juan de Dios Blanco,NA,NA,"Calama, Calama",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,1,1,agricabv bv calama marka,juan de dios blanco,Bolivia|2005|Not classified|NA|1
Bolivia,2005,Not classified,NA,2,93.1,Golondrina,Celso Mayta,NA,NA,"Copacabana, Caranavi Rural y Entre Rios",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,2,2,golondrina,celso mayta,Bolivia|2005|Not classified|NA|2
Bolivia,2005,Not classified,NA,3,91.5,Cafè Paraiso,Magali Quispe,NA,NA,"San Ignacio 5ta zona, Carrasco la Reserva",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,3,3,cafe paraiso,magali quispe,Bolivia|2005|Not classified|NA|3
Bolivia,2005,Not classified,NA,4,90.74,Ciana 1 {O},Mario Mamani,NA,NA,"Chojña Pampa, Carrasco la Reserva",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,4,4,ciana 1 o,mario mamani,Bolivia|2005|Not classified|NA|4
Bolivia,2005,Not classified,NA,5,90.52,Pico del tucan 3,Carmelo Olori,NA,NA,"Uchumachi, Carrasco la Reserva",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,5,5,pico del tucan 3,carmelo olori,Bolivia|2005|Not classified|NA|5
Bolivia,2005,Not classified,NA,6,90.26,Machaca {O},Virgilio Avila,NA,NA,"Nueva Llusta, San Lorenzo",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,6,6,machaca o,virgilio avila,Bolivia|2005|Not classified|NA|6
Bolivia,2005,Not classified,NA,7,89.67,Machaca,Teofilo Machaca,NA,NA,"Chojña Pampa, Carrasco la Reserva",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,7,7,machaca,teofilo machaca,Bolivia|2005|Not classified|NA|7
Bolivia,2005,Not classified,NA,8,87.95,Asocafe {O},Jose Ramos,NA,NA,"Amor de Dios, Taipiplaya",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,8,8,asocafe o,jose ramos,Bolivia|2005|Not classified|NA|8
Bolivia,2005,Not classified,NA,9,87.43,Pico del Tucan 2,Eduardo Tola,NA,NA,"Uchumachi, Carrasco la Reserva",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,9,9,pico del tucan 2,eduardo tola,Bolivia|2005|Not classified|NA|9
Bolivia,2005,Not classified,NA,10,87.1,Pico del Tucan 4,Yolanda Condori,NA,NA,"Uchumachi, Carrasco la Reserva",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,10,10,pico del tucan 4,yolanda condori,Bolivia|2005|Not classified|NA|10
Bolivia,2005,Not classified,NA,11,86.23,Rio Colorado {O},Evaristo Hilari,NA,NA,"Chijchipani, Entre Rios",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,11,11,rio colorado o,evaristo hilari,Bolivia|2005|Not classified|NA|11
Bolivia,2005,Not classified,NA,12,86.05,Flor de San Pablo,Monica Quispe,NA,NA,"San Pablo primero, San Pablo",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,12,12,flor de san pablo,monica quispe,Bolivia|2005|Not classified|NA|12
Bolivia,2005,Not classified,NA,13,85.87,Jakaranda {O},Pascual Viscarra,NA,NA,"8 de septiembre, Entre Rios",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,13,13,jakaranda o,pascual viscarra,Bolivia|2005|Not classified|NA|13
Bolivia,2005,Not classified,NA,14,85.7,Pico del Tucan,Anacleto Uluri,NA,NA,"San Ignacio , Carrasco la Reserva",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,14,14,pico del tucan,anacleto uluri,Bolivia|2005|Not classified|NA|14
Bolivia,2005,Not classified,NA,15,85.43,Anditrade BV Monterrey,Valentin Choquehuanca,NA,NA,"Loayza, Cauca",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,15,15,anditrade bv monterrey,valentin choquehuanca,Bolivia|2005|Not classified|NA|15
Bolivia,2005,Not classified,NA,16,85.33,Café llusta {O},Rufino Quispe,NA,NA,"Nueva Llusta, San Lorenzo",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,16,16,cafe llusta o,rufino quispe,Bolivia|2005|Not classified|NA|16
Bolivia,2005,Not classified,NA,17,84.63,Villalobos {O},Benigno Villalobos,NA,NA,"Colonia 7 estrellas, Entre Rios",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,17,17,villalobos o,benigno villalobos,Bolivia|2005|Not classified|NA|17
Bolivia,2005,Not classified,NA,18,84.6,Café Central {O},Luis Huayhua,NA,NA,"Nueva Llusta, San Lorenzo",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,18,18,cafe central o,luis huayhua,Bolivia|2005|Not classified|NA|18
Bolivia,2005,Not classified,NA,19,84.02,Colina Siete Estrellas {O},Emilio Castro,NA,NA,"Colonia 7 estrellas, Entre Rios",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,Not reported,19,19,colina siete estrellas o,emilio castro,Bolivia|2005|Not classified|NA|19
Bolivia,2007,Not classified,NA,1,91.5,Flor de Café San Ignacio,"Mario Mamani Mamani, Raymundo Yanarico",NA,NA,"Carrasco La Reserva, Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2007/,FALSE,Not reported,1,1,flor de cafe san ignacio,mario mamani mamani raymundo yanarico,Bolivia|2007|Not classified|NA|1
Bolivia,2007,Not classified,NA,2,90.78,San Ignacio,Juana Mamani Huanca,NA,NA,"Carrasco La Reserva, Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2007/,FALSE,Not reported,2,2,san ignacio,juana mamani huanca,Bolivia|2007|Not classified|NA|2
Bolivia,2007,Not classified,NA,3,90.43,Nakhaki (B),Braulio Luque Yana,NA,NA,"Rosario Entre Rios, Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2007/,FALSE,Not reported,3,3,nakhaki b,braulio luque yana,Bolivia|2007|Not classified|NA|3
