country,year,program,stage,process_group,source_url,source_table_id,rank,farm,score,weight_lbs,high_bid,total_value,company_name,high_bidder_s,download_status,download_error,farmer_organization,weight_kg,farmer,region,variety,process,zone,woreda,farm_name,bid_lb,winner,buyer_s_location,lot,lb,altitude_masl,ranking,price_per_lb,total_price,origin,buyer,na,na_2,na_3,na_4,na_5,na_6,na_7,na_8,na_9,na_10,na_11,na_12,na_13,na_14,na_15,weight_lb,hight_bid,high_bid_lb,farmer_name,estimated_weight_kg,proceso,variedad,winners,origin_of_buyer,farm_cws,farmer_representative,final_bid_lb,weights_kg,altitude_m,weigth_kg,farmer_representetive,weight,bid,business_name,wight_lb,farmer_en,farm_en
Brazil,2021,COE,competition,NA,https://allianceforcoffeeexcellence.org/brazil-2021/,1,1a,Dbarbosa Coffee – Fazenda Cachoeira,90.5,NA,NA,NA,NA,NA,success,NA,NA,180,Vitor Marcelo De Queiroz Barbosa,Cerrado Mineiro,Catuaí Amarelo,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2021,COE,competition,NA,https://allianceforcoffeeexcellence.org/brazil-2021/,1,1b,Dbarbosa Coffee – Fazenda Cachoeira,90.5,NA,NA,NA,NA,NA,success,NA,NA,180,Vitor Marcelo De Queiroz Barbosa,Cerrado Mineiro,Catuaí Amarelo,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2021,COE,competition,NA,https://allianceforcoffeeexcellence.org/brazil-2021/,1,2a,Fazenda Do I.P.,90.14,NA,NA,NA,NA,NA,success,NA,NA,180,Luiz Paulo Dias Pereira E Outros,Mantiqueira de Minas,Bourbon Amarelo,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2021,COE,competition,NA,https://allianceforcoffeeexcellence.org/brazil-2021/,1,2b,Fazenda Do I.P.,90.14,NA,NA,NA,NA,NA,success,NA,NA,180,Luiz Paulo Dias Pereira E Outros,Mantiqueira de Minas,Bourbon Amarelo,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2021,COE,competition,NA,https://allianceforcoffeeexcellence.org/brazil-2021/,1,3,Sítio São Pedro,89.43,NA,NA,NA,NA,NA,success,NA,NA,315,Pedro Brás,Sul de Minas,Gesha,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2021,COE,competition,NA,https://allianceforcoffeeexcellence.org/brazil-2021/,1,4,Fazenda Ressaca,89.18,NA,NA,NA,NA,NA,success,NA,NA,360,Wedson Marques De Souza,Chapada Diamantina,Catuaí,Pulped Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2021,COE,competition,NA,https://allianceforcoffeeexcellence.org/brazil-2021/,1,5,Fazenda Sáo Benedito,89.11,NA,NA,NA,NA,NA,success,NA,NA,705,Antonio Jose Junqueira Villela,Mantiqueira de Minas,Bourbon Amarelo,Pulped Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2021,COE,competition,NA,https://allianceforcoffeeexcellence.org/brazil-2021/,1,6,Chácara Vista Alegre,89.07,NA,NA,NA,NA,NA,success,NA,NA,315,José Renato Rodrigues Alves,Chapada Diamantina,Catuaí,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2021,COE,competition,NA,https://allianceforcoffeeexcellence.org/brazil-2021/,1,7,Fazenda Serra Do Boné,88.93,NA,NA,NA,NA,NA,success,NA,NA,585,Matheus Lopes Sanglard,Matas de Minas,Catucaí Vermelho,Pulped Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2021,COE,competition,NA,https://allianceforcoffeeexcellence.org/brazil-2021/,1,8,Fazenda Santo Antônio,88.89,NA,NA,NA,NA,NA,success,NA,NA,315,Ricardo Vagne Ignotti,Cerrado Mineiro,Catuaí 99,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
