country,year,program,process_family,entries,total_entries,reported_entries,share_all,share_reported,coverage_rate
Bolivia,2004,Not classified,Not reported,13,13,0,1,NA,0
Bolivia,2005,Not classified,Not reported,19,19,0,1,NA,0
Bolivia,2007,Not classified,Not reported,26,26,0,1,NA,0
Bolivia,2008,Not classified,Not reported,29,29,0,1,NA,0
Bolivia,2009,Not classified,Not reported,30,30,0,1,NA,0
Brazil,1999,Not classified,Not reported,10,10,0,1,NA,0
Brazil,2000,Not classified,Not reported,18,18,0,1,NA,0
Brazil,2001,Not classified,Not reported,18,18,0,1,NA,0
Brazil,2002,Not classified,Not reported,28,28,0,1,NA,0
Brazil,2003,Not classified,Not reported,43,43,0,1,NA,0
Brazil,2004,Not classified,Not reported,36,36,0,1,NA,0
Brazil,2005,Not classified,Not reported,36,36,0,1,NA,0
Brazil,2006,Not classified,Not reported,28,28,0,1,NA,0
Brazil,2008,Not classified,Not reported,23,23,0,1,NA,0
Brazil,2009,Not classified,Not reported,26,26,0,1,NA,0
Brazil,2011,Not classified,Not reported,31,31,0,1,NA,0
Brazil,2012,Not classified,Not reported,24,24,0,1,NA,0
Brazil,2013,Not classified,Not reported,39,39,0,1,NA,0
Brazil,2014,Not classified,Not reported,25,25,0,1,NA,0
Brazil,2015,Not classified,Not reported,41,41,0,1,NA,0
Brazil,2016,Not classified,Not reported,31,31,0,1,NA,0
Brazil,2017,Not classified,Not reported,38,38,0,1,NA,0
Brazil,2018,Not classified,Honey / pulped natural,3,48,48,0.0625,0.0625,1
Brazil,2018,Not classified,Natural,45,48,48,0.9375,0.9375,1
Brazil,2019,Not classified,Experimental,3,30,30,0.1,0.1,1
Brazil,2019,Not classified,Honey / pulped natural,10,30,30,0.3333333333333333,0.3333333333333333,1
Brazil,2019,Not classified,Natural,17,30,30,0.5666666666666667,0.5666666666666667,1
Brazil,2021,COE,Honey / pulped natural,13,29,29,0.4482758620689655,0.4482758620689655,1
Brazil,2021,COE,Natural,14,29,29,0.4827586206896552,0.4827586206896552,1
Brazil,2021,COE,Washed,2,29,29,0.06896551724137931,0.06896551724137931,1
Brazil,2021,NW,Natural,3,3,3,1,1,1
Brazil,2022,COE,Honey / pulped natural,8,24,24,0.3333333333333333,0.3333333333333333,1
Brazil,2022,COE,Natural,16,24,24,0.6666666666666666,0.6666666666666666,1
Brazil,2022,NW,Natural,2,2,2,1,1,1
Brazil,2023,COE,Experimental,10,30,30,0.3333333333333333,0.3333333333333333,1
Brazil,2023,COE,Honey / pulped natural,9,30,30,0.3,0.3,1
Brazil,2023,COE,Natural,10,30,30,0.3333333333333333,0.3333333333333333,1
Brazil,2023,COE,Washed,1,30,30,0.03333333333333333,0.03333333333333333,1
Brazil,2023,NW,Experimental,1,6,6,0.16666666666666666,0.16666666666666666,1
Brazil,2023,NW,Honey / pulped natural,4,6,6,0.6666666666666666,0.6666666666666666,1
Brazil,2023,NW,Natural,1,6,6,0.16666666666666666,0.16666666666666666,1
Brazil,2024,COE,Experimental,7,27,27,0.25925925925925924,0.25925925925925924,1
Brazil,2024,COE,Honey / pulped natural,10,27,27,0.37037037037037035,0.37037037037037035,1
