event_id,event_name,event_type,country,year,program,process_group,rank,score,farm,variety,weight_lb,final_bid_usd_lb,total_value_usd,buyer,source_url,rank_key,entry_rank,lot_key
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,1,NA,NA,NA,NA,11.25,32986.67,Solberg & Hansen AS,https://allianceforcoffeeexcellence.org/bolivia-2004/,1,1,86f5fadc62969c5f|COE|NA|1
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,2,NA,NA,NA,NA,10.05,27917.14,Maruyama Coffee for Mikatajuku group,https://allianceforcoffeeexcellence.org/bolivia-2004/,2,2,86f5fadc62969c5f|COE|NA|2
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,3,NA,NA,NA,NA,10,13889.12,Time’s Club and C-Coop,https://allianceforcoffeeexcellence.org/bolivia-2004/,3,3,86f5fadc62969c5f|COE|NA|3
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,4,NA,NA,NA,NA,5.25,8101.99,The Roasterie Inc,https://allianceforcoffeeexcellence.org/bolivia-2004/,4,4,86f5fadc62969c5f|COE|NA|4
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,5,NA,NA,NA,NA,8.05,11180.74,"Intelligentsia, Coffee Tree Roasters, and The Stumptown",https://allianceforcoffeeexcellence.org/bolivia-2004/,5,5,86f5fadc62969c5f|COE|NA|5
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,6,NA,NA,NA,NA,5.55,7708.46,"Caravan Coffee Co.,Ltd.",https://allianceforcoffeeexcellence.org/bolivia-2004/,6,6,86f5fadc62969c5f|COE|NA|6
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,7,NA,NA,NA,NA,5.7,7916.8,"Schluter & Maack for Hagen Kaffee, Lloyd Caffee, Laier Kaffeerosterei, Wasserburger Kaffee, mondo del caffÃ¨",https://allianceforcoffeeexcellence.org/bolivia-2004/,7,7,86f5fadc62969c5f|COE|NA|7
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,8,NA,NA,NA,NA,6.01,9274.85,Solberg & Hansen for Kaffebrenneriet AS,https://allianceforcoffeeexcellence.org/bolivia-2004/,8,8,86f5fadc62969c5f|COE|NA|8
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,9,NA,NA,NA,NA,5.1,7083.45,"World Coffee Co.,Ltd.",https://allianceforcoffeeexcellence.org/bolivia-2004/,9,9,86f5fadc62969c5f|COE|NA|9
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,10,NA,NA,NA,NA,5.05,10910.68,"Toa Coffee Co.,Ltd.",https://allianceforcoffeeexcellence.org/bolivia-2004/,10,10,86f5fadc62969c5f|COE|NA|10
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,11,NA,NA,NA,NA,4.8,6666.78,Stumptown,https://allianceforcoffeeexcellence.org/bolivia-2004/,11,11,86f5fadc62969c5f|COE|NA|11
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,12,NA,NA,NA,NA,5,7716.18,"Coffee Masters, Inc.",https://allianceforcoffeeexcellence.org/bolivia-2004/,12,12,86f5fadc62969c5f|COE|NA|12
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,13,NA,NA,NA,NA,4.66,7910.63,Katocoffee Inc.,https://allianceforcoffeeexcellence.org/bolivia-2004/,13,13,86f5fadc62969c5f|COE|NA|13
cbe3c4b09a54bec0,2005,COE,Bolivia,2005,COE,NA,1,NA,NA,NA,NA,12.55,30988.18,"Small Axe Coffee Alliance – Intelligentsia, Coffee Tree Roasters, Coffee Klatch, Paradise Roasters, Caffe Pronto, Sweet Maria’s, PT’s coffee, Gimme Coffee, Barefoot Coffee, Victrola, Groundworks, Alpen Sierra, 49th Parallel, Ecco Caffe, Maruyama Coffee fo",https://allianceforcoffeeexcellence.org/bolivia-2005/,1,1,cbe3c4b09a54bec0|COE|NA|1
cbe3c4b09a54bec0,2005,COE,Bolivia,2005,COE,NA,2,NA,NA,NA,NA,5.9,18210.18,"Bontain Coffee Co.,Ltd.",https://allianceforcoffeeexcellence.org/bolivia-2005/,2,2,cbe3c4b09a54bec0|COE|NA|2
cbe3c4b09a54bec0,2005,COE,Bolivia,2005,COE,NA,3,NA,NA,NA,NA,6.05,17739.5,Time’s Club & C-COOP,https://allianceforcoffeeexcellence.org/bolivia-2005/,3,3,cbe3c4b09a54bec0|COE|NA|3
cbe3c4b09a54bec0,2005,COE,Bolivia,2005,COE,NA,4,NA,NA,NA,NA,7.25,20139.23,"Stumptown, Maruyama Coffee and Mocca Kaffebar & Brenneri",https://allianceforcoffeeexcellence.org/bolivia-2005/,4,4,cbe3c4b09a54bec0|COE|NA|4
cbe3c4b09a54bec0,2005,COE,Bolivia,2005,COE,NA,5,NA,NA,NA,NA,4.5,14583.58,"Nippon Coffee Trading Co., Ltd.",https://allianceforcoffeeexcellence.org/bolivia-2005/,5,5,cbe3c4b09a54bec0|COE|NA|5
