event_id,event_name,event_type,country,year,program,process_group,rank,score,farm,producer,process,variety,region,source_url,swap_process_variety,process_family,process_classification_source,rank_key,entry_rank,farm_key,producer_key,entry_key
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,1,90.44,CENAPROC,CENAPROC (82 farmer lot),NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,not reported,1,1,cenaproc,cenaproc 82 farmer lot,86f5fadc62969c5f|COE|NA|1
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,2,90.06,CENAPROC,Pedro Patana,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,not reported,2,2,cenaproc,pedro patana,86f5fadc62969c5f|COE|NA|2
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,3,89.75,CENAPROC,"Productores Luis Huayhua, Silberio Cereso, Félix Castro",NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,not reported,3,3,cenaproc,productores luis huayhua silberio cereso felix castro,86f5fadc62969c5f|COE|NA|3
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,4,89.22,Cooperativa UNION PROAGRO,Eusebio Marca Cruz,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,not reported,4,4,cooperativa union proagro,eusebio marca cruz,86f5fadc62969c5f|COE|NA|4
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,5,88.28,CENAPROC,"Bernardo Apaza, Lorenzo Choque",NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,not reported,5,5,cenaproc,bernardo apaza lorenzo choque,86f5fadc62969c5f|COE|NA|5
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,6,88.25,AGRICABV Caranavi,"Eugenio Nina, Wilfredo Condori",NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,not reported,6,6,agricabv caranavi,eugenio nina wilfredo condori,86f5fadc62969c5f|COE|NA|6
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,7,88.14,Cooperativa UNION PROAGRO,Andrea Hilari Condori,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,not reported,7,7,cooperativa union proagro,andrea hilari condori,86f5fadc62969c5f|COE|NA|7
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,8,88.03,Cooperativa CIANA,Yolanda Lourdes Condori Chura,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,not reported,8,8,cooperativa ciana,yolanda lourdes condori chura,86f5fadc62969c5f|COE|NA|8
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,9,87.67,Valentin Choquehuanca,Valentin Choquehuanca,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,not reported,9,9,valentin choquehuanca,valentin choquehuanca,86f5fadc62969c5f|COE|NA|9
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,10,85.56,AGRICABV CARANAVI,"Policarpio Tarqui, Jacinto Quispe",NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,Not reported,not reported,10,10,agricabv caranavi,policarpio tarqui jacinto quispe,86f5fadc62969c5f|COE|NA|10
