country,year,program,process_family,entries,total_entries,share_all
Bolivia,2004,COE,Not reported,13,13,1
Bolivia,2005,COE,Not reported,19,19,1
Bolivia,2007,COE,Not reported,26,26,1
Bolivia,2008,COE,Not reported,29,29,1
Bolivia,2009,COE,Not reported,30,30,1
Brazil,1999,COE,Honey / pulped natural,10,10,1
Brazil,2000,COE,Honey / pulped natural,18,18,1
Brazil,2001,COE,Honey / pulped natural,18,18,1
Brazil,2002,COE,Honey / pulped natural,28,28,1
Brazil,2003,COE,Honey / pulped natural,43,43,1
Brazil,2004,COE,Honey / pulped natural,36,36,1
Brazil,2005,COE,Honey / pulped natural,36,36,1
Brazil,2006,COE,Honey / pulped natural,28,28,1
Brazil,2008,COE,Honey / pulped natural,23,23,1
Brazil,2009,COE,Honey / pulped natural,26,26,1
Brazil,2011,COE,Honey / pulped natural,31,31,1
Brazil,2012,COE,Honey / pulped natural,24,42,0.5714285714285714
Brazil,2012,COE,Natural,18,42,0.42857142857142855
Brazil,2013,COE,Honey / pulped natural,27,48,0.5625
Brazil,2013,COE,Natural,21,48,0.4375
Brazil,2014,COE,Honey / pulped natural,21,42,0.5
Brazil,2014,COE,Natural,21,42,0.5
Brazil,2015,COE,Honey / pulped natural,21,71,0.29577464788732394
Brazil,2015,COE,Natural,50,71,0.704225352112676
Brazil,2016,COE,Honey / pulped natural,24,43,0.5581395348837209
Brazil,2016,COE,Natural,19,43,0.4418604651162791
Brazil,2017,COE,Honey / pulped natural,24,56,0.42857142857142855
Brazil,2017,COE,Natural,32,56,0.5714285714285714
Brazil,2018,COE,Honey / pulped natural,30,67,0.44776119402985076
Brazil,2018,COE,Natural,37,67,0.5522388059701493
Brazil,2019,COE,Experimental,2,27,0.07407407407407407
Brazil,2019,COE,Honey / pulped natural,9,27,0.3333333333333333
Brazil,2019,COE,Natural,16,27,0.5925925925925926
Brazil,2021,COE,Honey / pulped natural,13,29,0.4482758620689655
Brazil,2021,COE,Natural,14,29,0.4827586206896552
Brazil,2021,COE,Washed,2,29,0.06896551724137931
Brazil,2022,COE,Honey / pulped natural,8,24,0.3333333333333333
Brazil,2022,COE,Natural,16,24,0.6666666666666666
Brazil,2023,COE,Experimental,10,30,0.3333333333333333
Brazil,2023,COE,Honey / pulped natural,9,30,0.3
Brazil,2023,COE,Natural,10,30,0.3333333333333333
Brazil,2023,COE,Washed,1,30,0.03333333333333333
Brazil,2024,COE,Experimental,7,27,0.25925925925925924
Brazil,2024,COE,Honey / pulped natural,10,27,0.37037037037037035
Brazil,2024,COE,Natural,10,27,0.37037037037037035
Brazil,2024,NW,Experimental,1,8,0.125
Brazil,2024,NW,Honey / pulped natural,3,8,0.375
Brazil,2024,NW,Natural,4,8,0.5
Brazil,2025,COE,Experimental,10,30,0.3333333333333333
Brazil,2025,COE,Honey / pulped natural,9,30,0.3
Brazil,2025,COE,Natural,10,30,0.3333333333333333
Brazil,2025,COE,Washed,1,30,0.03333333333333333
Brazil,2025,NW,Experimental,4,9,0.4444444444444444
Brazil,2025,NW,Honey / pulped natural,1,9,0.1111111111111111
Brazil,2025,NW,Natural,3,9,0.3333333333333333
Brazil,2025,NW,Washed,1,9,0.1111111111111111
Burundi,2012,COE,Not reported,17,17,1
Burundi,2013,COE,Not reported,14,14,1
