event_id,event_name,event_type,country,year,program,process_family,entries,total_entries,reported_entries,share_all,share_reported,coverage_rate
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,Not reported,13,13,0,1,NA,0
cbe3c4b09a54bec0,2005,COE,Bolivia,2005,COE,Not reported,19,19,0,1,NA,0
344ddab608c8d8c8,2007,COE,Bolivia,2007,COE,Not reported,26,26,0,1,NA,0
6646acbd1638b6ee,2008,COE,Bolivia,2008,COE,Not reported,29,29,0,1,NA,0
41c894e8f5792c14,2009,COE,Bolivia,2009,COE,Not reported,30,30,0,1,NA,0
9f945028bafe640f,1999,COE Pulped Natural,Brazil,1999,COE,Honey / pulped natural,10,10,10,1,1,1
5b0c683a06c2fd21,2000,COE Pulped Natural,Brazil,2000,COE,Honey / pulped natural,18,18,18,1,1,1
e2acf27cd7656ef2,2001,COE Pulped Natural,Brazil,2001,COE,Honey / pulped natural,18,18,18,1,1,1
6380da67582687f1,2002,COE Pulped Natural,Brazil,2002,COE,Honey / pulped natural,28,28,28,1,1,1
ab20ca6fa71477c3,2003,COE Pulped Natural,Brazil,2003,COE,Honey / pulped natural,43,43,43,1,1,1
e36d63fff8523cfb,2004,COE Pulped Natural,Brazil,2004,COE,Honey / pulped natural,36,36,36,1,1,1
a2287dd141a2aa33,2005,COE Pulped Natural,Brazil,2005,COE,Honey / pulped natural,36,36,36,1,1,1
c8752ceee8bb53f1,2006,COE Pulped Natural,Brazil,2006,COE,Honey / pulped natural,28,28,28,1,1,1
44619d3e719c99ef,2008,COE Pulped Natural,Brazil,2008,COE,Honey / pulped natural,23,23,23,1,1,1
11b46c35400dc616,2009,COE Pulped Natural,Brazil,2009,COE,Honey / pulped natural,26,26,26,1,1,1
6dc5bb1377bf2317,2011,COE Pulped Natural,Brazil,2011,COE,Honey / pulped natural,31,31,31,1,1,1
90ce520eb2b1c7b3,2012,COE Pulped Natural,Brazil,2012,COE,Honey / pulped natural,24,24,24,1,1,1
97486e2f1c2df951,2012,COE Natural,Brazil,2012,COE,Natural,18,18,18,1,1,1
81ba66b9c2fe1d13,2013,COE Natural,Brazil,2013,COE,Natural,21,21,21,1,1,1
bc80a53b61b50b1c,2013,COE Pulped Natural,Brazil,2013,COE,Honey / pulped natural,27,27,27,1,1,1
208d8a119b3fcd68,2014,COE Pulped Natural,Brazil,2014,COE,Honey / pulped natural,21,21,21,1,1,1
8783a594e2c5082b,2014,COE Natural,Brazil,2014,COE,Natural,21,21,21,1,1,1
101c33c318834c3a,2015 January,COE Natural,Brazil,2015,COE,Natural,21,21,21,1,1,1
b2252d20dd28d7dd,2015,COE Pulped Natural,Brazil,2015,COE,Honey / pulped natural,21,21,21,1,1,1
e27e0f7c702fa71e,2015 December,COE Natural,Brazil,2015,COE,Natural,29,29,29,1,1,1
29ce078048b6ca5a,2016,COE Pulped Natural,Brazil,2016,COE,Honey / pulped natural,24,24,24,1,1,1
f57a799e620edb5c,2016,COE Natural,Brazil,2016,COE,Natural,19,19,19,1,1,1
38b2d2e3c7e71d0f,2017,COE Pulped Natural,Brazil,2017,COE,Honey / pulped natural,24,24,24,1,1,1
7ba223eeaf3a9cb7,2017,COE Natural,Brazil,2017,COE,Natural,32,32,32,1,1,1
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,Natural,37,37,37,1,1,1
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,Honey / pulped natural,30,30,30,1,1,1
58d0dda26a0c47c5,2019,COE,Brazil,2019,COE,Experimental,2,27,27,0.07407407407407407,0.07407407407407407,1
58d0dda26a0c47c5,2019,COE,Brazil,2019,COE,Honey / pulped natural,9,27,27,0.3333333333333333,0.3333333333333333,1
58d0dda26a0c47c5,2019,COE,Brazil,2019,COE,Natural,16,27,27,0.5925925925925926,0.5925925925925926,1
f8c00d6b60400117,Brazil 2021,COE,Brazil,2021,COE,Honey / pulped natural,13,29,29,0.4482758620689655,0.4482758620689655,1
f8c00d6b60400117,Brazil 2021,COE,Brazil,2021,COE,Natural,14,29,29,0.4827586206896552,0.4827586206896552,1
f8c00d6b60400117,Brazil 2021,COE,Brazil,2021,COE,Washed,2,29,29,0.06896551724137931,0.06896551724137931,1
374bae6a9cdc8d6c,Brazil 2022,COE,Brazil,2022,COE,Honey / pulped natural,8,24,24,0.3333333333333333,0.3333333333333333,1
374bae6a9cdc8d6c,Brazil 2022,COE,Brazil,2022,COE,Natural,16,24,24,0.6666666666666666,0.6666666666666666,1
5690e5dd7b7859d2,Brazil 2023,COE,Brazil,2023,COE,Experimental,10,30,30,0.3333333333333333,0.3333333333333333,1
5690e5dd7b7859d2,Brazil 2023,COE,Brazil,2023,COE,Honey / pulped natural,9,30,30,0.3,0.3,1
5690e5dd7b7859d2,Brazil 2023,COE,Brazil,2023,COE,Natural,10,30,30,0.3333333333333333,0.3333333333333333,1
5690e5dd7b7859d2,Brazil 2023,COE,Brazil,2023,COE,Washed,1,30,30,0.03333333333333333,0.03333333333333333,1
8f910a10a522a6e4,Brazil 2024,COE,Brazil,2024,COE,Experimental,7,27,27,0.25925925925925924,0.25925925925925924,1
8f910a10a522a6e4,Brazil 2024,COE,Brazil,2024,COE,Honey / pulped natural,10,27,27,0.37037037037037035,0.37037037037037035,1
8f910a10a522a6e4,Brazil 2024,COE,Brazil,2024,COE,Natural,10,27,27,0.37037037037037035,0.37037037037037035,1
8f910a10a522a6e4,Brazil 2024,COE,Brazil,2024,NW,Experimental,1,8,8,0.125,0.125,1
8f910a10a522a6e4,Brazil 2024,COE,Brazil,2024,NW,Honey / pulped natural,3,8,8,0.375,0.375,1
8f910a10a522a6e4,Brazil 2024,COE,Brazil,2024,NW,Natural,4,8,8,0.5,0.5,1
4d450701ea8feb17,Brazil 2025,COE,Brazil,2025,COE,Experimental,10,30,30,0.3333333333333333,0.3333333333333333,1
4d450701ea8feb17,Brazil 2025,COE,Brazil,2025,COE,Honey / pulped natural,9,30,30,0.3,0.3,1
4d450701ea8feb17,Brazil 2025,COE,Brazil,2025,COE,Natural,10,30,30,0.3333333333333333,0.3333333333333333,1
4d450701ea8feb17,Brazil 2025,COE,Brazil,2025,COE,Washed,1,30,30,0.03333333333333333,0.03333333333333333,1
4d450701ea8feb17,Brazil 2025,COE,Brazil,2025,NW,Experimental,4,9,9,0.4444444444444444,0.4444444444444444,1
4d450701ea8feb17,Brazil 2025,COE,Brazil,2025,NW,Honey / pulped natural,1,9,9,0.1111111111111111,0.1111111111111111,1
4d450701ea8feb17,Brazil 2025,COE,Brazil,2025,NW,Natural,3,9,9,0.3333333333333333,0.3333333333333333,1
4d450701ea8feb17,Brazil 2025,COE,Brazil,2025,NW,Washed,1,9,9,0.1111111111111111,0.1111111111111111,1
616f537ef2678bf7,2012,COE,Burundi,2012,COE,Not reported,17,17,0,1,NA,0
a788c4997f41e4fb,2013,COE,Burundi,2013,COE,Not reported,14,14,0,1,NA,0
f142488b1549196e,2014,COE,Burundi,2014,COE,Not reported,27,27,0,1,NA,0
df2a0030ea37d2c1,2015,COE,Burundi,2015,COE,Not reported,24,24,0,1,NA,0
bc5c1e38d691c08b,2017,COE,Burundi,2017,COE,Not reported,23,23,0,1,NA,0
6125b41b95ca5561,2018,COE,Burundi,2018,COE,Washed,29,29,29,1,1,1
5add2920159e49b6,2019,COE,Burundi,2019,COE,Natural,2,23,23,0.08695652173913043,0.08695652173913043,1
5add2920159e49b6,2019,COE,Burundi,2019,COE,Washed,21,23,23,0.9130434782608695,0.9130434782608695,1
924c6ccd256e3867,2005 North,COE regional,Colombia,2005,COE,Not reported,25,25,0,1,NA,0
977c3d13e69fd1a0,2005 South,COE regional,Colombia,2005,COE,Not reported,33,33,0,1,NA,0
7887cd6f3b2c4612,2006 North,COE regional,Colombia,2006,COE,Not reported,23,23,0,1,NA,0
cbf7cef16e2f2288,2006 South,COE regional,Colombia,2006,COE,Not reported,30,30,0,1,NA,0
30131012ffca0563,2007 North,COE regional,Colombia,2007,COE,Not reported,30,30,0,1,NA,0
e91a6326be6cc6dc,2008 South,COE regional,Colombia,2008,COE,Not reported,18,18,0,1,NA,0
7e63f3505a9fd29f,2009 North,COE regional,Colombia,2009,COE,Not reported,27,27,0,1,NA,0
d499fbd326fc6ee9,2010 South,COE regional,Colombia,2010,COE,Not reported,21,21,0,1,NA,0
7ee7c9627e3a94bd,2011 North,COE regional,Colombia,2011,COE,Not reported,22,22,0,1,NA,0
d097a68f0a5eff0b,2012 South,COE regional,Colombia,2012,COE,Not reported,30,30,0,1,NA,0
8ba1050b3deba653,2013 North,COE regional,Colombia,2013,COE,Not reported,20,20,0,1,NA,0
